,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
825,Construction companies,Mount Housing,https://www.screener.in/company/538521/,8.60,27.8,29.0,16.2,108,11.8,0.0,2.15,1.67,10.0,20.0,71.8,25.6,0.31,-25.2,4.21,67.5,0.03,0.96,0.2,538521
826,Construction companies,Yaan Enterprises,https://www.screener.in/company/508961/,8.30,66.9,66.9,31.2,83.0,29.3,0.0,-3.62,-17.2,10.0,,114,25.6,0.12,,0.0,91.0,1.29,1.0,0.11,508961
827,Construction companies,Shricon Indus.,https://www.screener.in/company/CMMIPL/,8.23,5.25,7.80,3.40,,18.3,0.0,-24.8,-50.2,10.0,16.6,54.4,25.6,1.57,15.3,32.7,70.3,0.11,0.67,2.6,CMMIPL
828,Construction companies,CMM Infraproj,https://www.screener.in/company/514332/consolidated/,7.97,15.0,16.6,8.17,,10.6,0.0,3.06,-2.76,10.0,8.59,83.6,25.6,0.53,-25.5,9.37,52.1,-0.45,0.91,2.6,514332
829,Construction companies,Neo Infracon,https://www.screener.in/company/522209/consolidated/,7.25,4.30,4.99,2.55,,21.1,0.0,-0.34,-0.94,10.0,-56.9,68.6,25.6,1.68,,13.8,50.7,-0.21,0.86,0.83,522209
830,Construction companies,Yogi Infra Proj.,https://www.screener.in/company/500426/,7.15,2.17,3.49,1.50,,1.30,0.0,-1.99,-2.23,1.00,-42.9,44.7,25.6,3.30,-79.2,37.8,36.8,-0.01,0.62,0.0,500426
831,Construction companies,UTL Industries,https://www.screener.in/company/526187/,6.20,5.17,5.91,2.85,,10.8,0.0,-1.95,-2.03,10.0,-20.0,81.4,25.6,1.20,-11.4,12.5,53.1,-0.03,0.87,0.01,526187
832,Construction companies,Ashram Online,https://www.screener.in/company/542924/,6.20,4.63,5.70,2.95,13.8,5.51,0.0,3.34,2.45,10.0,-7.73,57.0,25.6,1.34,8.69,18.8,53.8,0.13,0.81,0.0,542924
833,Construction companies,Janus Corporatio,https://www.screener.in/company/509423/,5.74,18.2,27.4,14.9,,-38.2,0.0,-6.65,,10.0,,22.0,25.6,0.32,,33.5,51.9,-0.10,0.66,,509423
834,Construction companies,Sanathnagar Ent.,https://www.screener.in/company/542677/,4.67,11.2,16.5,6.85,,9.39,0.0,3.01,1.46,10.0,,64.1,25.6,0.42,,31.9,73.2,0.10,0.68,1.88,542677
835,Construction companies,Mahesh Developer,https://www.screener.in/company/538794/,4.47,10.7,45.0,0.00,14.9,13.4,0.0,0.82,1.08,10.0,253,,25.6,0.42,1.49,76.3,51.2,0.05,0.24,0.08,538794
836,Construction companies,Jet Infraventure,https://www.screener.in/company/526865/,4.05,4.05,5.23,2.96,,10.6,0.0,0.58,0.09,10.0,-12.1,36.8,25.6,1.00,38.7,22.6,44.6,0.00,0.77,0.46,526865
837,Construction companies,Jainco Projects,https://www.screener.in/company/532766/,3.77,1.61,2.36,1.15,,-107,0.0,-16.8,,10.0,-17.7,40.0,25.6,2.34,-43.3,31.8,54.2,-42.2,0.68,,532766
838,Construction companies,Richa Industries,https://www.screener.in/company/531155/,3.49,4.69,9.41,3.13,,-1.44,0.0,-491,,10.0,,49.8,25.6,0.75,,50.2,54.8,-0.09,0.5,,531155
839,Construction companies,Epsom Properties,https://www.screener.in/company/539544/consolidated/,3.15,6.24,7.80,3.35,,8.34,0.0,0.00,0.00,10.0,-99.6,86.3,25.6,0.50,,20.0,53.3,-0.18,0.8,0.26,539544
840,Construction companies,Abhishek Infra.,https://www.screener.in/company/526823/,2.81,5.09,8.92,3.50,,-1.05,0.0,-13.1,,10.0,-81.3,45.4,25.6,0.55,-33.4,42.9,73.1,-0.05,0.57,,526823
841,Construction companies,Rajeswari Infra.,https://www.screener.in/company/540134/,2.53,3.91,4.44,2.38,,10.5,0.0,-0.14,-0.15,10.0,,64.3,25.6,0.65,,11.9,54.8,-0.05,0.88,0.04,540134
842,Construction companies,Ishaan Infrastru,https://www.screener.in/company/543366/,2.33,28.8,97.0,25.9,,42.0,0.0,-15.5,-15.3,10.0,-91.3,11.0,25.6,0.08,,70.4,42.3,-1.48,0.3,0.0,543366
843,Construction companies,SBL Infratech,https://www.screener.in/company/534731/,1.76,1.02,1.36,0.86,11.7,2.83,0.0,3.61,3.33,10.0,"1,292",18.6,25.6,1.73,"1,086",25.0,54.3,-0.04,0.75,0.59,534731
844,Construction companies,Bronze Infra,https://www.screener.in/company/HAVELLS/consolidated/,"85,727","1,368","1,466","1,099",72.8,110,0.55,22.3,17.0,1.00,10.7,24.5,59.4,62.7,21.4,6.69,62.8,3.97,0.93,0.04,HAVELLS
845,Consumer Durables companies,Havells India,https://www.screener.in/company/DIXON/consolidated/,"39,278","6,567","6,765","2,553",128,244,0.05,24.2,22.5,2.00,7.35,157,43.7,5.98,40.4,2.93,73.7,18.0,0.97,0.19,DIXON
846,Consumer Durables companies,Dixon Technolog.,https://www.screener.in/company/VOLTAS/consolidated/,"32,372",978,993,737,106,173,0.43,9.67,4.42,1.00,18.0,32.7,83.8,33.1,7.44,1.48,79.6,1.11,0.99,0.1,VOLTAS
847,Consumer Durables companies,Voltas,https://www.screener.in/company/CROMPTON/consolidated/,"19,904",311,349,251,46.1,42.6,0.96,16.0,18.1,2.00,6.83,23.9,59.4,64.0,15.0,10.9,67.7,1.52,0.89,0.37,CROMPTON
848,Consumer Durables companies,Crompton Gr. Con,https://www.screener.in/company/BLUESTARCO/consolidated/,"19,472",947,"1,038",589,61.6,114,1.27,24.4,23.4,2.00,16.6,60.7,83.8,20.6,14.2,8.77,44.4,3.44,0.91,0.37,BLUESTARCO
849,Consumer Durables companies,Blue Star,https://www.screener.in/company/WHIRLPOOL/consolidated/,"17,341","1,367","1,733","1,217",87.2,282,0.37,8.43,6.37,10.0,-5.85,12.3,55.8,12.7,3.62,21.1,38.6,2.88,0.79,0.01,WHIRLPOOL
850,Consumer Durables companies,Whirlpool India,https://www.screener.in/company/KAYNES/,"16,686","2,611","3,000",713,152,174,0.0,21.5,16.3,10.0,43.1,266,67.2,6.39,44.5,13.0,56.3,4.37,0.87,0.25,KAYNES
851,Consumer Durables companies,Kaynes Tech,https://www.screener.in/company/BAJAJELEC/,"11,376",988,"1,223",884,55.8,123,0.4,18.5,12.2,2.00,0.33,11.9,55.8,11.5,2.88,19.2,42.4,2.91,0.81,0.14,BAJAJELEC
852,Consumer Durables companies,Bajaj Electrical,https://www.screener.in/company/AMBER/consolidated/,"10,564","3,135","3,480","1,762",66.8,581,0.0,10.7,8.75,10.0,27.2,77.9,67.2,3.37,20.5,9.9,50.9,-2.06,0.9,0.79,AMBER
853,Consumer Durables companies,Amber Enterp.,https://www.screener.in/company/TTKPRESTIG/consolidated/,"10,275",741,833,652,46.3,141,0.81,18.1,13.8,1.00,-10.6,13.7,55.8,13.9,10.2,11.0,36.0,4.28,0.89,0.08,TTKPRESTIG
854,Consumer Durables companies,TTK Prestige,https://www.screener.in/company/543482/,"9,854",510,599,355,113,214,0.0,1.91,0.69,10.0,40.7,43.5,55.8,19.3,403,14.9,42.7,1.32,0.85,0.02,543482
855,Consumer Durables companies,Eureka Forbes,https://www.screener.in/company/PGEL/consolidated/,"6,177","2,374","2,570","1,002",61.7,361,0.0,17.3,22.0,10.0,47.2,137,67.2,2.60,,7.64,53.2,4.75,0.92,0.33,PGEL
856,Consumer Durables companies,PG Electroplast,https://www.screener.in/company/SYMPHONY/consolidated/,"6,041",876,"1,219",825,52.2,98.8,0.57,14.8,13.5,2.00,-2.52,6.18,55.8,6.90,2.50,28.1,49.8,5.08,0.72,0.27,SYMPHONY
857,Consumer Durables companies,Symphony,https://www.screener.in/company/GENUSPOWER/consolidated/,"5,980",232,290,78.6,72.3,45.4,0.32,5.77,3.00,1.00,17.9,195,67.2,25.8,-8.65,20.0,49.2,1.91,0.8,0.29,GENUSPOWER
858,Consumer Durables companies,Genus Power,https://www.screener.in/company/ORIENTELEC/,"4,842",227,285,208,60.1,28.8,0.66,19.2,13.5,1.00,4.12,9.35,55.8,21.3,7.05,20.4,56.2,0.86,0.8,0.2,ORIENTELEC
859,Consumer Durables companies,Orient Electric,https://www.screener.in/company/508486/,"4,014","7,588","7,650","5,837",41.4,528,1.32,45.8,38.7,10.0,-4.80,30.0,55.8,0.53,14.3,0.8,58.2,66.6,0.99,0.16,508486
860,Consumer Durables companies,Hawkins Cookers,https://www.screener.in/company/IFBIND/consolidated/,"3,807",939,"1,053",698,387,170,0.0,6.43,2.27,10.0,3.88,34.6,55.8,4.05,16.7,10.8,46.6,5.31,0.89,0.41,IFBIND
861,Consumer Durables companies,IFB Industries,https://www.screener.in/company/AVALON/consolidated/,"3,617",551,732,347,84.5,81.4,0.0,16.7,16.8,2.00,12.4,58.7,67.2,6.56,13.8,24.7,60.2,1.11,0.75,0.25,AVALON
862,Consumer Durables companies,Avalon Tech,https://www.screener.in/company/KDDL/consolidated/,"3,563","2,842","3,120",976,39.5,402,0.14,18.1,15.1,10.0,29.4,191,39.5,1.25,19.7,8.92,59.0,20.3,0.91,0.5,KDDL
863,Consumer Durables companies,KDDL Ltd,https://www.screener.in/company/JCHAC/,"3,035","1,116","1,393",938,,207,0.0,-9.55,-9.46,10.0,-26.1,19.0,83.8,2.72,2.76,19.9,45.4,-20.7,0.8,0.43,JCHAC
864,Consumer Durables companies,Johnson Con. Hit,https://www.screener.in/company/CARYSIL/consolidated/,"2,205",822,980,431,42.8,122,0.24,17.8,18.8,2.00,1.94,90.7,42.8,2.68,29.1,16.1,43.3,5.76,0.84,0.65,CARYSIL
865,Consumer Durables companies,Carysil,https://www.screener.in/company/BUTTERFLY/,"1,859","1,040","1,592",978,43.6,176,0.0,30.3,19.8,10.0,-10.0,6.38,55.8,1.79,16.0,34.7,45.0,8.16,0.65,0.0,BUTTERFLY
866,Consumer Durables companies,Butterfly Gan Ap,https://www.screener.in/company/500414/,"1,680",166,203,113,54.3,7.51,0.0,47.6,,1.00,11.3,47.1,39.5,10.1,15.0,18.0,34.1,1.09,0.82,0.21,500414
867,Consumer Durables companies,Timex Group,https://www.screener.in/company/STOVEKRAFT/,"1,487",450,579,353,56.1,130,0.0,12.5,9.29,10.0,3.19,27.4,55.8,3.31,24.1,22.3,28.8,5.00,0.78,0.35,STOVEKRAFT
868,Consumer Durables companies,Stove Kraft,https://www.screener.in/company/504132/,"1,225","1,424","1,721",621,38.2,144,0.11,40.1,30.8,10.0,35.7,129,67.2,0.86,19.7,17.2,50.8,8.54,0.83,0.11,504132
869,Consumer Durables companies,Permanent Magnet,https://www.screener.in/company/HIRECT/,925,540,715,185,55.7,68.7,0.0,5.29,3.99,2.00,26.4,192,67.2,1.71,6.22,24.4,42.1,2.32,0.76,0.94,HIRECT
870,Consumer Durables companies,Hind Rectifiers,https://www.screener.in/company/MICEL/consolidated/,748,33.8,48.0,11.0,154,3.29,0.0,1.41,0.41,2.00,-19.2,207,67.2,22.1,131,29.6,42.3,0.39,0.7,0.17,MICEL
871,Consumer Durables companies,MIC Electronics,https://www.screener.in/company/ELIN/consolidated/,734,148,236,116,52.9,100,0.68,9.90,6.66,5.00,-15.4,27.5,67.2,4.97,11.0,37.4,42.0,0.79,0.63,0.06,ELIN
872,Consumer Durables companies,Elin Electronics,https://www.screener.in/company/543597/,526,230,308,122,67.6,42.6,0.0,18.4,13.5,10.0,68.5,87.8,67.2,2.28,70.4,25.2,37.0,1.54,0.75,1.15,543597
873,Consumer Durables companies,Virtuoso Optoel.,https://www.screener.in/company/517035/consolidated/,521,749,"1,040",269,83.9,55.5,0.2,14.9,20.2,10.0,35.4,178,67.2,0.70,,28.0,40.4,2.26,0.72,0.83,517035
874,Consumer Durables companies,RIR Power Electr,https://www.screener.in/company/541083/,433,589,730,363,103,62.6,0.0,17.3,16.5,10.0,34.8,62.3,55.8,0.73,71.3,19.3,44.4,0.01,0.81,0.76,541083
875,Consumer Durables companies,Inflame Applian.,https://www.screener.in/company/BPL/,417,85.0,103,46.7,28.0,50.7,0.0,7.08,2.85,10.0,37.9,82.1,43.7,4.90,-18.0,17.4,50.2,1.95,0.83,0.03,BPL
876,Consumer Durables companies,BPL,https://www.screener.in/company/MIRCELECTR/,365,15.8,25.6,11.0,,7.72,0.0,-0.89,-6.77,1.00,-29.5,43.6,43.7,23.1,22.5,38.3,34.4,-0.28,0.62,0.56,MIRCELECTR
877,Consumer Durables companies,MIRC Electronics,https://www.screener.in/company/523100/,270,224,314,125,,26.7,0.0,10.3,9.69,10.0,-23.3,78.8,67.2,1.20,25.0,28.6,37.3,-0.36,0.71,2.19,523100
878,Consumer Durables companies,Cosmo Ferrites,https://www.screener.in/company/531306/,238,792,"1,120",751,8.08,648,0.5,19.6,14.5,10.0,-57.5,5.46,55.8,0.30,25.2,29.3,42.5,71.0,0.71,0.02,531306
879,Consumer Durables companies,DHP India,https://www.screener.in/company/GREENCHEF/,235,101,153,95.0,24.9,48.8,0.0,14.9,16.9,10.0,-2.73,6.16,55.8,2.33,10.4,34.1,42.9,1.68,0.66,0.7,GREENCHEF
880,Consumer Durables companies,Greenchef Appli.,https://www.screener.in/company/517236/,226,168,205,118,59.5,55.6,0.0,13.2,9.34,10.0,18.6,41.9,67.2,1.35,50.1,18.1,53.8,0.04,0.82,0.46,517236
881,Consumer Durables companies,Calcom Vision,https://www.screener.in/company/523449/,176,67.9,81.9,45.2,,-31.6,0.0,-845,,10.0,-100,50.2,43.7,2.59,14.5,17.1,71.9,-1.60,0.83,,523449
882,Consumer Durables companies,Sharp India,https://www.screener.in/company/ARHAM/,174,205,247,43.8,43.7,24.5,0.0,25.2,27.1,10.0,22.4,369,43.7,0.85,52.0,16.9,52.8,2.01,0.83,0.81,ARHAM
883,Consumer Durables companies,Arham Tech,https://www.screener.in/company/SONAMLTD/,142,71.0,86.3,36.5,37.3,27.0,0.0,9.44,7.98,10.0,-11.2,94.5,39.5,2.00,11.3,17.7,33.6,0.59,0.82,0.43,SONAMLTD
884,Consumer Durables companies,Sonam,https://www.screener.in/company/DELTAMAGNT/consolidated/,104,95.7,122,61.2,,29.6,0.0,-9.97,-32.3,10.0,-6.02,56.4,67.2,1.09,-13.7,21.7,52.4,-2.32,0.78,1.23,DELTAMAGNT
885,Consumer Durables companies,Delta Manufact.,https://www.screener.in/company/543921/,98.5,131,175,0.00,60.0,,0.0,19.2,24.8,10.0,-8.80,,67.2,0.75,7.61,25.2,37.0,-3.40,0.75,1.96,543921
886,Consumer Durables companies,Comrade Applian.,https://www.screener.in/company/517246/,96.4,62.9,81.5,21.0,24.3,11.7,0.0,13.3,15.8,10.0,24.9,199,67.2,1.53,-15.4,22.8,43.4,0.61,0.77,0.41,517246
887,Consumer Durables companies,B C C Fuba India,https://www.screener.in/company/531608/,77.7,145,236,109,101,22.3,0.0,14.7,16.2,10.0,1.39,32.8,55.8,0.54,24.4,38.6,48.1,0.71,0.61,0.97,531608
888,Consumer Durables companies,Gorani Industrie,https://www.screener.in/company/517288/,60.0,70.2,108,28.6,20.5,9.58,0.0,25.9,26.8,10.0,5.79,145,67.2,0.85,5.50,35.0,44.7,0.39,0.65,0.05,517288
889,Consumer Durables companies,Gujarat Poly,https://www.screener.in/company/500370/,51.3,58.2,69.0,29.6,,64.8,0.0,-3.84,-2.06,10.0,44.5,97.1,43.7,0.88,-11.8,15.6,55.2,-0.50,0.84,0.27,500370
890,Consumer Durables companies,Salora Intl.,https://www.screener.in/company/517370/,26.6,52.0,52.0,32.5,28.4,32.2,1.92,5.91,3.84,10.0,-17.2,59.8,67.2,0.51,-18.1,0.0,68.6,0.76,1.0,0.24,517370
891,Consumer Durables companies,Incap,https://www.screener.in/company/505840/,21.4,35.1,59.6,23.5,28.5,24.4,0.0,4.27,2.23,10.0,-43.3,49.3,55.8,0.61,21.0,41.2,36.3,-0.21,0.59,0.35,505840
892,Consumer Durables companies,Jaipan Industrie,https://www.screener.in/company/543460/consolidated/,20.8,81.5,117,57.0,59.4,45.3,0.0,,,10.0,,43.0,55.8,0.19,,30.5,53.4,2.75,0.7,0.19,543460
893,Consumer Durables companies,Quality RO Indu.,https://www.screener.in/company/509015/,15.3,13.0,18.7,12.4,,-7.23,0.0,-35.0,,3.00,46.5,4.75,67.2,1.17,-7.50,30.5,36.9,-0.02,0.69,,509015
894,Consumer Durables companies,Thakral Services,https://www.screener.in/company/517397/,13.2,32.9,45.5,25.1,,-31.3,0.0,-36.8,,10.0,-28.4,31.1,67.2,0.40,,27.6,51.6,-1.62,0.72,,517397
895,Consumer Durables companies,Pan Electronics,https://www.screener.in/company/517463/,2.11,1.22,1.30,1.10,,-13.9,0.0,,,1.00,-100,10.9,67.2,1.73,-62.8,6.15,57.8,-0.01,0.94,,517463
896,Consumer Durables companies,Linaks Microelec,https://www.screener.in/company/526009/,0.19,0.54,0.54,0.40,,-15.5,0.0,-1.27,,10.0,,35.0,67.2,0.35,,0.0,95.9,-0.03,1.0,,526009
897,Consumer Durables companies,Procal Electroni,https://www.screener.in/company/517397/,13.2,32.9,45.5,25.1,,-31.3,0.0,-36.8,,10.0,-28.4,31.1,67.2,0.40,,27.6,51.6,-1.62,0.72,,517397
900,Consumer Durables companies,Procal Electroni,https://www.screener.in/company/CRISIL/consolidated/,"31,708","4,337","4,455","2,888",52.3,263,1.11,41.1,32.9,1.00,14.8,50.1,37.0,7.31,16.9,2.65,56.8,20.8,0.97,0.03,CRISIL
901,Credit Rating Agencies companies,CRISIL,https://www.screener.in/company/ICRA/consolidated/,"5,520","5,720","6,249","4,251",37.0,930,0.7,20.0,15.1,10.0,13.0,34.5,37.0,0.97,7.89,8.47,59.9,32.9,0.92,0.01,ICRA
902,Credit Rating Agencies companies,ICRA,https://www.screener.in/company/CARERATING/consolidated/,"2,833",952,"1,010",590,32.0,230,1.79,18.7,12.7,10.0,15.7,61.3,37.0,2.98,4.62,5.78,58.8,11.8,0.94,0.03,CARERATING
903,Credit Rating Agencies companies,CARE Ratings,https://www.screener.in/company/ONGC/consolidated/,"2,57,959",205,212,140,5.49,246,5.49,13.9,14.1,5.00,-1.41,46.4,9.07,"1,258",16.8,3.28,58.7,10.9,0.97,0.46,ONGC
904,Crude Oil & Natural Gas companies,O N G C,https://www.screener.in/company/OIL/consolidated/,"40,356",372,406,205,5.85,370,5.37,25.4,25.2,10.0,-10.8,81.2,9.07,108,24.7,8.43,68.6,3.88,0.92,0.56,OIL
905,Crude Oil & Natural Gas companies,Oil India,https://www.screener.in/company/HINDOILEXP/consolidated/,"2,409",182,258,116,9.07,82.4,0.0,20.4,24.1,10.0,108,57.4,9.07,13.2,40.4,29.4,67.2,3.27,0.71,0.22,HINDOILEXP
906,Crude Oil & Natural Gas companies,Hind.Oil Explor.,https://www.screener.in/company/ASIANENE/consolidated/,"1,038",270,297,51.5,,59.8,0.0,-15.3,-17.4,10.0,-19.1,425,9.07,3.84,-26.2,8.99,61.9,0.28,0.91,0.03,ASIANENE
907,Crude Oil & Natural Gas companies,Asian Energy,https://www.screener.in/company/SELAN/,749,493,554,222,27.3,246,0.0,11.7,8.96,10.0,16.3,122,9.07,1.52,9.59,11.1,53.9,6.20,0.89,0.01,SELAN
908,Crude Oil & Natural Gas companies,Selan Expl. Tech,https://www.screener.in/company/ABAN/consolidated/,306,52.4,67.0,31.2,,"-3,952",0.0,,,2.00,-37.2,68.1,9.07,5.84,-25.9,21.9,50.9,-54.4,0.78,,ABAN
909,Crude Oil & Natural Gas companies,Aban Offshore,https://www.screener.in/company/513536/consolidated/,166,20.7,23.4,11.9,,13.8,0.0,-0.75,-3.66,10.0,64.7,74.6,9.07,8.03,7.51,11.5,62.0,-0.38,0.89,0.36,513536
910,Crude Oil & Natural Gas companies,Guj.Nat.Resour.,https://www.screener.in/company/TITAN/consolidated/,"3,26,301","3,675","3,737","2,269",98.8,140,0.27,25.1,30.8,1.00,27.3,62.0,33.6,88.8,24.4,1.65,65.9,10.3,0.98,1.15,TITAN
911,"Diamond, Gems and Jewellery companies",Titan Company,https://www.screener.in/company/KALYANKJIL/consolidated/,"36,474",354,362,101,70.3,37.4,0.14,12.7,13.5,10.0,22.6,251,33.6,103,11.7,2.18,67.0,1.31,0.98,0.65,KALYANKJIL
912,"Diamond, Gems and Jewellery companies",Kalyan Jewellers,https://www.screener.in/company/RAJESHEXPO/consolidated/,"10,823",367,"1,030",334,9.47,516,0.27,10.9,10.5,1.00,18.8,9.75,33.6,29.5,20.2,64.4,48.2,1.53,0.36,0.04,RAJESHEXPO
913,"Diamond, Gems and Jewellery companies",Rajesh Exports,https://www.screener.in/company/VAIBHAVGBL/consolidated/,"6,568",397,470,269,54.3,73.9,1.51,11.1,9.02,2.00,2.56,47.8,33.6,16.6,10.6,15.6,40.4,1.78,0.84,0.15,VAIBHAVGBL
914,"Diamond, Gems and Jewellery companies",Vaibhav Global,https://www.screener.in/company/SENCO/,"5,412",697,823,358,33.6,160,0.14,15.5,19.2,10.0,15.3,94.5,33.6,7.77,19.0,15.4,42.4,1.55,0.85,1.1,SENCO
915,"Diamond, Gems and Jewellery companies",Senco Gold,https://www.screener.in/company/THANGAMAYL/,"4,092","1,491","1,550",472,36.6,163,0.4,16.8,22.4,10.0,20.5,216,33.6,2.74,23.0,3.75,60.1,3.06,0.96,1.18,THANGAMAYL
916,"Diamond, Gems and Jewellery companies",Thangamayil Jew.,https://www.screener.in/company/PCJEWELLER/consolidated/,"2,173",46.7,86.9,21.3,,69.8,0.0,5.33,-5.36,10.0,-31.2,119,33.6,46.5,-22.0,46.3,70.9,-2.97,0.54,1.2,PCJEWELLER
917,"Diamond, Gems and Jewellery companies",PC Jeweller,https://www.screener.in/company/GOLDIAM/consolidated/,"1,859",171,192,120,21.8,54.2,1.17,20.9,15.3,2.00,-4.12,42.1,33.6,10.9,13.5,11.3,53.1,2.15,0.89,0.01,GOLDIAM
918,"Diamond, Gems and Jewellery companies",Goldiam Intl.,https://www.screener.in/company/MVGJL/,"1,557",319,382,202,21.8,,0.0,17.4,23.2,10.0,19.9,57.8,33.6,4.88,16.6,16.6,41.6,4.54,0.83,0.82,MVGJL
919,"Diamond, Gems and Jewellery companies",Manoj Vaibhav,https://www.screener.in/company/531847/consolidated/,"1,376",859,"1,046",0.00,19.3,920,0.17,6.56,6.33,10.0,-25.4,,33.6,1.60,13.6,17.9,57.5,11.0,0.82,0.46,531847
920,"Diamond, Gems and Jewellery companies",Asian Star Co.,https://www.screener.in/company/SKYGOLD/,"1,094","1,019","1,300",206,36.0,106,0.2,17.5,21.3,10.0,17.0,393,33.6,1.07,16.9,21.6,50.6,6.77,0.78,1.69,SKYGOLD
921,"Diamond, Gems and Jewellery companies",Sky Gold,https://www.screener.in/company/RGL/consolidated/,991,103,132,80.0,13.8,112,0.0,9.02,9.06,2.00,-7.68,28.8,33.6,9.61,-3.67,21.9,50.1,1.10,0.78,0.62,RGL
922,"Diamond, Gems and Jewellery companies",Renaiss. Global,https://www.screener.in/company/MOTISONS/,966,98.2,110,87.1,43.5,,0.0,16.5,17.6,10.0,16.5,12.7,33.6,9.84,,10.6,,0.84,0.89,1.18,MOTISONS
923,"Diamond, Gems and Jewellery companies",Motisons Jewel,https://www.screener.in/company/TBZ/consolidated/,853,128,145,58.2,16.2,85.1,1.37,9.30,7.39,10.0,0.75,120,33.6,6.67,9.76,11.8,52.1,1.35,0.88,1.09,TBZ
924,"Diamond, Gems and Jewellery companies",T B Z,https://www.screener.in/company/RADHIKAJWE/,526,44.6,58.1,27.7,13.6,19.2,0.45,17.9,14.8,2.00,55.4,61.2,33.6,11.8,22.1,23.3,50.0,0.73,0.77,0.21,RADHIKAJWE
925,"Diamond, Gems and Jewellery companies",Radhika Jeweltec,https://www.screener.in/company/RBZJEWEL/,463,116,116,95.0,20.7,,0.0,23.6,27.5,10.0,14.2,21.8,33.6,4.00,,0.0,,4.03,1.0,0.98,RBZJEWEL
926,"Diamond, Gems and Jewellery companies",RBZ Jewellers Lt,https://www.screener.in/company/539518/,442,201,254,75.8,42.7,33.2,0.0,15.6,15.0,10.0,-1.50,165,33.6,2.20,24.4,20.8,56.0,1.25,0.79,0.41,539518
927,"Diamond, Gems and Jewellery companies",Uday Jewellery,https://www.screener.in/company/LGHL/,317,152,179,21.6,528,15.4,0.0,4.36,1.26,10.0,-24.3,602,33.6,2.09,-8.67,15.4,51.5,0.11,0.85,1.11,LGHL
928,"Diamond, Gems and Jewellery companies",Laxmi Goldorna,https://www.screener.in/company/542579/,314,12.6,14.4,5.12,131,3.39,0.0,3.12,2.18,1.00,-29.4,145,33.6,25.0,9.40,12.7,56.8,0.07,0.87,0.12,542579
929,"Diamond, Gems and Jewellery companies",Ashapuri Gold,https://www.screener.in/company/519455/,109,51.4,72.9,38.8,30.0,22.5,0.0,9.72,8.77,10.0,21.1,32.5,33.6,2.12,18.8,29.5,45.8,0.26,0.71,0.6,519455
930,"Diamond, Gems and Jewellery companies",Narbada Gems,https://www.screener.in/company/540953/,105,8.29,15.7,3.04,125,1.11,0.0,7.29,4.03,1.00,32.0,173,33.6,12.6,36.5,47.2,50.7,0.01,0.53,0.34,540953
931,"Diamond, Gems and Jewellery companies",Kenvi Jewels,https://www.screener.in/company/523676/,99.3,143,164,85.6,15.0,66.7,1.05,18.4,22.8,10.0,-12.9,66.6,33.6,0.70,20.7,13.0,70.7,2.34,0.87,0.82,523676
932,"Diamond, Gems and Jewellery companies",Golkunda Diamond,https://www.screener.in/company/522235/consolidated/,81.9,4.27,6.53,0.79,"1,024",2.65,0.0,1.95,-0.59,2.00,-2.22,441,33.6,19.2,-9.49,34.6,24.3,-0.11,0.65,0.26,522235
933,"Diamond, Gems and Jewellery companies",Minal Industries,https://www.screener.in/company/543848/,77.7,94.0,106,47.7,44.2,24.4,0.0,11.7,8.61,10.0,43.0,97.0,33.6,0.83,37.0,11.2,66.8,1.58,0.89,0.05,543848
934,"Diamond, Gems and Jewellery companies",Dev Labtech,https://www.screener.in/company/KANANIIND/consolidated/,73.7,7.45,10.2,5.43,69.5,6.42,0.0,3.72,3.56,1.00,-7.24,37.2,33.6,9.89,-10.4,27.0,45.1,0.03,0.73,0.32,KANANIIND
935,"Diamond, Gems and Jewellery companies",Kanani Industrie,https://www.screener.in/company/526365/consolidated/,70.0,33.5,42.4,15.0,13.1,58.6,0.0,6.82,5.49,10.0,-18.8,124,33.6,2.09,14.5,20.9,55.4,-0.50,0.79,1.05,526365
936,"Diamond, Gems and Jewellery companies",SwarnsaritaJewel,https://www.screener.in/company/540715/,63.4,50.2,92.0,30.0,3.16,87.1,0.0,27.9,20.1,10.0,-12.5,67.2,33.6,1.26,40.6,45.5,52.7,5.93,0.55,0.01,540715
937,"Diamond, Gems and Jewellery companies",Sagar Diamonds,https://www.screener.in/company/530525/,62.9,62.9,62.9,3.62,,3.18,0.0,-8.10,-7.68,5.00,-80.4,"1,637",33.6,1.00,-44.4,0.0,72.2,0.03,1.0,0.02,530525
938,"Diamond, Gems and Jewellery companies",Sheetal Diamonds,https://www.screener.in/company/504398/,31.4,37.6,42.2,21.0,71.4,10.8,0.0,6.42,4.12,1.00,82.3,79.2,33.6,0.84,35.7,10.9,73.6,0.02,0.89,0.0,504398
939,"Diamond, Gems and Jewellery companies",SJ Corp,https://www.screener.in/company/512587/,28.9,55.8,74.4,28.0,16.5,136,0.0,1.13,0.99,10.0,-60.8,99.2,33.6,0.52,6.39,25.0,45.4,0.91,0.75,0.0,512587
