,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
216,Cables companies,Ultracab India,https://www.screener.in/company/538706/,260,27.2,33.6,11.5,44.1,18.1,0.00,17.7,20.1,2.0,2.00,137,39.4,1.91,17.7,19.0,67.5,0.8,0.81,1.11,538706
217,Cables companies,Delton Cables,https://www.screener.in/company/504240/,224,259,276,61.2,122,71.0,0.00,13.8,1.01,10.0,44.1,323,39.4,0.86,29.4,6.09,64.4,3.85,0.94,1.75,504240
218,Cables companies,Aksh Optifibre,https://www.screener.in/company/AKSHOPTFBR/consolidated/,197,12.1,13.4,8.00,,4.09,0.00,9.05,8.02,5.0,-13.0,51.2,23.9,16.3,-1.56,9.7,76.3,-0.3,0.9,2.54,AKSHOPTFBR
219,Cables companies,Cords Cable,https://www.screener.in/company/CORDSCABLE/,146,113,126,60.6,19.1,126,0.00,13.6,4.64,10.0,10.7,86.6,39.4,1.29,7.73,10.2,48.6,1.58,0.9,0.46,CORDSCABLE
220,Cables companies,Relicab Cable,https://www.screener.in/company/539760/,93.5,92.6,116,52.1,53.1,11.3,0.00,17.2,14.7,10.0,27.7,77.8,39.4,1.01,41.5,20.1,50.0,0.45,0.8,0.86,539760
221,Cables companies,Marco Cables,https://www.screener.in/company/MARCO/,91.8,49.1,65.8,37.0,39.2,,0.00,17.4,18.7,10.0,0.11,32.5,39.4,1.87,,25.4,35.0,0.5,0.75,2.41,MARCO
222,Cables companies,Cybele Industrie,https://www.screener.in/company/531472/,44.0,41.2,43.0,14.5,,25.3,0.00,3.07,0.62,10.0,0.92,184,39.4,1.07,24.8,4.28,67.2,0.36,0.96,0.67,531472
223,Cables companies,Godha Cabcon,https://www.screener.in/company/GODHA/,43.3,0.65,1.98,0.45,,1.02,0.00,-5.03,-5.72,1.0,-87.6,44.4,39.4,66.6,-59.3,67.2,56.0,-0.01,0.33,0.03,GODHA
224,Cables companies,T N Telecom.,https://www.screener.in/company/TNTELE/,41.3,9.05,10.6,5.30,,-34.0,0.00,,,10.0,,70.8,23.9,4.57,,14.2,49.2,-0.7,0.86,,TNTELE
225,Cables companies,Jigar Cables,https://www.screener.in/company/540651/consolidated/,31.6,45.0,53.9,21.0,29.8,22.8,0.00,8.92,6.67,10.0,70.9,114,39.4,0.70,27.8,16.5,53.3,0.51,0.83,0.35,540651
226,Cables companies,CMI,https://www.screener.in/company/CMICABLES/,9.70,6.05,23.5,5.15,,-79.3,0.00,-8.19,,10.0,-67.5,17.5,39.4,1.60,-64.6,74.3,34.6,-52.3,0.26,,CMICABLES
227,Cables companies,SGN Telecoms,https://www.screener.in/company/531812/,4.44,0.55,0.98,0.39,,0.07,0.00,-12.4,-13.2,1.0,,41.0,39.4,8.08,,43.9,31.0,-0.06,0.56,0.0,531812
