Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
Capital Goods - Electrical Equipment companies,Jyoti,https://www.screener.in/company/504076/,109.0,47.2,66.0,13.9,10.8,-31.5,0.0,,,,14.5,239.0,42.3,2.31,12.9,28.4,41.5,0.26,0.72,,504076
Capital Goods - Electrical Equipment companies,Marsons,https://www.screener.in/company/517467/,108.0,7.75,9.0,3.05,26.7,0.97,0.0,,-216.0,,454.0,154.0,42.3,14.0,,13.9,47.9,0.03,0.86,0.56,517467
Capital Goods - Electrical Equipment companies,Viviana Power,https://www.screener.in/company/VIVIANA/consolidated/,107.0,179.0,210.0,67.0,34.3,30.2,0.0,,,,11.4,167.0,57.5,0.6,,14.8,53.1,2.81,0.85,0.56,VIVIANA
Capital Goods - Electrical Equipment companies,Advance Meter.,https://www.screener.in/company/534612/consolidated/,96.9,60.4,60.4,16.1,,63.4,0.0,,-6.62,,9.65,275.0,42.3,1.61,-13.1,0.0,84.0,0.32,1.0,0.11,534612
Capital Goods - Electrical Equipment companies,Quest Softech,https://www.screener.in/company/535719/,79.6,79.6,85.8,43.0,,2.01,0.0,,-10.3,,-44.4,85.4,42.3,1.0,-20.6,7.11,63.8,-0.72,0.93,3.09,535719
Capital Goods - Electrical Equipment companies,Alfa Transformer,https://www.screener.in/company/517546/,68.2,74.5,77.8,11.6,8.15,23.7,0.0,,7.82,,198.0,545.0,42.3,0.92,-4.07,4.28,59.5,6.62,0.96,0.41,517546
Capital Goods - Electrical Equipment companies,Maks Energy,https://www.screener.in/company/MAKS/,63.8,92.0,118.0,23.0,79.8,23.4,0.0,,2.6,,42.7,300.0,42.3,0.69,1.65,22.0,46.8,0.29,0.78,1.01,MAKS
Capital Goods - Electrical Equipment companies,Evans Electric,https://www.screener.in/company/542668/,50.5,184.0,202.0,90.5,12.6,66.3,1.09,,26.1,,-22.5,103.0,42.3,0.27,38.0,9.19,58.0,11.7,0.91,0.02,542668
Capital Goods - Electrical Equipment companies,Agni Green,https://www.screener.in/company/AGNI/,50.2,25.7,34.0,17.9,18.9,15.6,0.0,,-4.94,,43.0,43.6,42.3,1.95,-0.41,24.3,47.5,0.06,0.76,0.31,AGNI
Capital Goods - Electrical Equipment companies,Sungarner Energ.,https://www.screener.in/company/SEL/,47.1,203.0,275.0,150.0,58.8,37.8,0.0,,31.0,,118.0,35.3,42.3,0.23,58.4,26.3,50.7,1.08,0.74,0.16,SEL
Capital Goods - Electrical Equipment companies,Cospower Engine.,https://www.screener.in/company/543172/,45.0,300.0,389.0,207.0,,39.4,0.0,,3.0,,80.2,44.6,42.3,0.15,8.49,22.9,49.9,-8.0,0.77,3.16,543172
Capital Goods - Electrical Equipment companies,Sparc Electrex,https://www.screener.in/company/531370/,20.1,27.6,39.4,16.8,91.4,20.2,0.0,,8.45,,-77.1,65.0,,0.73,,29.8,54.0,0.11,0.7,0.01,531370
Capital Goods - Electrical Equipment companies,Switching Tech.,https://www.screener.in/company/517201/,16.6,67.8,83.3,26.0,,-25.4,0.0,,,,-8.73,160.0,42.3,0.24,-4.07,18.6,37.8,-7.55,0.81,,517201
Capital Goods - Electrical Equipment companies,Bright Solar,https://www.screener.in/company/BRIGHT/,15.2,6.1,10.5,4.65,,12.9,0.0,,0.16,,91.6,31.2,,2.5,0.26,41.8,48.5,-1.24,0.58,0.02,BRIGHT
Capital Goods - Electrical Equipment companies,Tarapur Trans,https://www.screener.in/company/TARAPUR/,10.0,5.15,7.73,2.8,,-7.42,0.0,,,,-43.8,83.9,42.3,1.95,-33.6,33.4,36.1,-0.14,0.67,4.19,TARAPUR
Capital Goods - Electrical Equipment companies,Integra Switch,https://www.screener.in/company/517423/,9.01,28.3,28.3,5.21,,5.87,0.0,,-61.0,,,442.0,42.3,0.32,,0.0,100.0,-0.28,1.0,0.0,517423
Capital Goods - Electrical Equipment companies,Sterling Powerg.,https://www.screener.in/company/513575/,8.75,17.2,26.0,11.0,,-5.55,0.0,,,,96.4,56.0,,0.51,-69.1,34.0,41.8,-0.31,0.66,,513575
Capital Goods - Electrical Equipment companies,Epic Energy,https://www.screener.in/company/530407/,6.35,8.8,10.7,5.55,,8.99,0.0,,-6.52,,19.3,58.6,42.3,0.72,-12.9,17.7,44.6,0.03,0.82,0.0,530407
Capital Goods - Electrical Equipment companies,IMP Powers,https://www.screener.in/company/INDLMETER/consolidated/,4.84,5.6,7.8,2.9,,-295.0,0.0,,,,-72.4,93.1,42.3,0.86,-52.7,28.2,46.5,-4.39,0.72,,INDLMETER
Capital Goods - Electrical Equipment companies,Cont. Controls,https://www.screener.in/company/531460/,3.89,6.33,8.04,3.33,,3.4,0.0,,-53.4,,-56.8,90.1,42.3,0.61,-1.73,21.3,45.7,0.02,0.79,0.0,531460
Capital Goods-Non Electrical Equipment companies,Hind.Aeronautics,https://www.screener.in/company/HAL/,187525.0,2804.0,2850.0,1150.0,31.0,375.0,0.98,,27.2,,5.69,144.0,39.3,66.9,7.88,1.61,70.2,18.5,0.98,0.0,HAL
Capital Goods-Non Electrical Equipment companies,Cummins India,https://www.screener.in/company/CUMMINSIND/,54441.0,1964.0,2045.0,1356.0,41.2,204.0,1.27,,21.6,,19.6,44.8,33.4,27.7,14.5,3.98,54.8,11.8,0.96,0.05,CUMMINSIND
Capital Goods-Non Electrical Equipment companies,Thermax,https://www.screener.in/company/THERMAX/consolidated/,36718.0,3082.0,3230.0,1871.0,69.1,335.0,0.32,,12.3,,17.2,64.7,39.3,11.9,12.2,4.6,64.2,13.2,0.95,0.27,THERMAX
Capital Goods-Non Electrical Equipment companies,Bharat Dynamics,https://www.screener.in/company/BDL/,31384.0,1712.0,1811.0,787.0,73.8,184.0,0.55,,11.3,,-36.4,118.0,39.3,18.3,-7.1,5.44,79.0,8.03,0.95,0.0,BDL
Capital Goods-Non Electrical Equipment companies,Grindwell Norton,https://www.screener.in/company/GRINDWELL/consolidated/,25788.0,2329.0,2495.0,1718.0,68.4,167.0,0.62,,20.7,,11.6,35.6,58.0,11.1,17.2,6.65,71.4,9.2,0.93,0.04,GRINDWELL
Capital Goods-Non Electrical Equipment companies,Carborundum Uni.,https://www.screener.in/company/CARBORUNIV/consolidated/,21159.0,1113.0,1305.0,854.0,47.6,151.0,0.31,,15.4,,17.4,30.4,58.0,19.0,21.4,14.7,43.7,5.36,0.85,0.06,CARBORUNIV
Capital Goods-Non Electrical Equipment companies,Elgi Equipments,https://www.screener.in/company/ELGIEQUIP/consolidated/,17257.0,545.0,623.0,355.0,42.9,46.1,0.37,,23.8,,11.4,53.4,42.9,31.7,18.5,12.6,58.6,2.88,0.87,0.43,ELGIEQUIP
Capital Goods-Non Electrical Equipment companies,Titagarh Rail,https://www.screener.in/company/TITAGARH/consolidated/,14053.0,1044.0,1091.0,193.0,66.3,109.0,0.05,,13.9,,94.9,440.0,39.3,13.5,16.3,4.35,58.7,5.55,0.96,0.26,TITAGARH
Capital Goods-Non Electrical Equipment companies,Jupiter Wagons,https://www.screener.in/company/JWL/,13150.0,319.0,412.0,85.2,56.6,26.4,0.16,,16.8,,118.0,274.0,39.3,41.2,154.0,22.7,47.1,2.04,0.77,0.35,JWL
Capital Goods-Non Electrical Equipment companies,KSB,https://www.screener.in/company/KSB/consolidated/,12068.0,3467.0,3550.0,1706.0,57.6,343.0,0.43,,16.9,,24.5,103.0,32.7,3.48,12.1,2.35,58.7,14.4,0.98,0.0,KSB
Capital Goods-Non Electrical Equipment companies,BEML Ltd,https://www.screener.in/company/BEML/consolidated/,11781.0,2829.0,2916.0,1128.0,58.7,569.0,0.35,,6.3,,-9.55,151.0,39.3,4.16,8.82,2.98,67.3,12.4,0.97,0.16,BEML
Capital Goods-Non Electrical Equipment companies,Graphite India,https://www.screener.in/company/GRAPHITE/consolidated/,10750.0,550.0,572.0,252.0,122.0,285.0,1.54,,4.66,,-10.5,119.0,16.8,19.5,0.93,3.81,63.6,41.2,0.96,0.06,GRAPHITE
Capital Goods-Non Electrical Equipment companies,Elecon Engg.Co,https://www.screener.in/company/ELECON/consolidated/,10400.0,927.0,990.0,350.0,35.6,126.0,0.22,,20.5,,29.9,165.0,39.3,11.2,12.0,6.35,54.0,7.89,0.94,0.03,ELECON
Capital Goods-Non Electrical Equipment companies,Praj Industries,https://www.screener.in/company/PRAJIND/consolidated/,10220.0,556.0,650.0,299.0,37.6,60.6,0.81,,23.7,,16.7,86.2,39.3,18.4,47.4,14.5,46.5,3.39,0.85,0.03,PRAJIND
Capital Goods-Non Electrical Equipment companies,Action Const.Eq.,https://www.screener.in/company/ACE/consolidated/,9874.0,829.0,895.0,304.0,42.0,87.7,0.12,,18.8,,28.8,173.0,39.3,11.9,23.2,7.39,50.4,6.21,0.93,0.06,ACE
Capital Goods-Non Electrical Equipment companies,Ingersoll-Rand,https://www.screener.in/company/INGERRAND/,9831.0,3114.0,3334.0,1841.0,45.0,196.0,1.61,,32.3,,21.2,69.1,42.9,3.16,17.7,6.6,57.0,15.8,0.93,0.0,INGERRAND
Capital Goods-Non Electrical Equipment companies,Kirloskar Oil,https://www.screener.in/company/KIRLOSENG/consolidated/,9498.0,655.0,679.0,288.0,25.6,171.0,0.76,,14.7,,18.0,128.0,33.4,14.5,14.1,3.45,66.9,5.38,0.97,1.35,KIRLOSENG
Capital Goods-Non Electrical Equipment companies,Esab India,https://www.screener.in/company/ESABINDIA/,9052.0,5882.0,6586.0,3221.0,57.0,202.0,1.33,,53.2,,15.6,82.6,30.4,1.54,16.0,10.7,50.5,25.0,0.89,0.01,ESABINDIA
Capital Goods-Non Electrical Equipment companies,ION Exchange,https://www.screener.in/company/IONEXCHANG/consolidated/,8246.0,562.0,688.0,243.0,40.3,60.9,0.22,,26.2,,26.7,131.0,39.3,14.7,10.4,18.2,42.5,2.9,0.82,0.11,IONEXCHANG
Capital Goods-Non Electrical Equipment companies,HEG,https://www.screener.in/company/HEG/consolidated/,7365.0,1908.0,1966.0,918.0,16.8,1127.0,2.23,,13.0,,-6.09,108.0,16.8,3.86,4.71,2.92,66.9,24.9,0.97,0.16,HEG
Capital Goods-Non Electrical Equipment companies,GMM Pfaudler,https://www.screener.in/company/GMMPFAUDLR/consolidated/,7247.0,1612.0,1898.0,1350.0,37.9,207.0,0.12,,24.9,,22.6,19.4,39.3,4.5,75.2,15.1,56.9,15.8,0.85,1.06,GMMPFAUDLR
Capital Goods-Non Electrical Equipment companies,Kirl. Brothers,https://www.screener.in/company/KIRLOSBROS/consolidated/,7052.0,888.0,1062.0,286.0,23.3,185.0,0.51,,18.3,,17.0,210.0,32.7,7.94,5.96,16.3,42.8,6.41,0.84,0.13,KIRLOSBROS
Capital Goods-Non Electrical Equipment companies,Power Mech Proj.,https://www.screener.in/company/POWERMECH/consolidated/,6775.0,4286.0,5069.0,1571.0,29.8,918.0,0.05,,17.9,,26.6,173.0,29.8,1.58,18.5,15.5,58.6,34.4,0.85,0.34,POWERMECH
Capital Goods-Non Electrical Equipment companies,Texmaco Rail,https://www.screener.in/company/TEXRAIL/,6561.0,171.0,189.0,40.5,101.0,42.8,0.09,,1.47,,71.9,323.0,39.3,38.3,12.4,9.42,59.6,0.68,0.91,0.79,TEXRAIL
Capital Goods-Non Electrical Equipment companies,Lloyds Engineeri,https://www.screener.in/company/LLOYDSENGG/,4739.0,41.4,57.5,15.2,93.2,2.29,0.24,,25.4,,296.0,172.0,39.3,114.0,39.8,28.0,37.2,0.16,0.72,0.08,LLOYDSENGG
Capital Goods-Non Electrical Equipment companies,Va Tech Wabag,https://www.screener.in/company/WABAG/consolidated/,3904.0,628.0,668.0,302.0,13.0,270.0,0.0,,3.11,,-7.39,108.0,39.3,6.22,5.0,5.96,56.2,9.68,0.94,0.17,WABAG
Capital Goods-Non Electrical Equipment companies,Kirl.Pneumatic,https://www.screener.in/company/KIRLPNU/,3901.0,602.0,700.0,512.0,37.8,127.0,0.91,,14.6,,0.24,17.7,42.9,6.48,14.3,13.9,51.6,3.12,0.86,0.0,KIRLPNU
Capital Goods-Non Electrical Equipment companies,HLE Glascoat,https://www.screener.in/company/HLEGLAS/consolidated/,3686.0,540.0,699.0,465.0,66.4,50.4,0.2,,24.1,,13.5,16.1,39.3,6.83,29.8,22.7,54.8,1.47,0.77,1.06,HLEGLAS
Capital Goods-Non Electrical Equipment companies,Greaves Cotton,https://www.screener.in/company/GREAVESCOT/consolidated/,3525.0,152.0,165.0,118.0,519.0,59.2,0.59,,6.59,,6.87,28.6,33.4,23.2,12.2,7.91,70.0,-8.22,0.92,0.06,GREAVESCOT
Capital Goods-Non Electrical Equipment companies,Dynamatic Tech.,https://www.screener.in/company/DYNAMATECH/consolidated/,3472.0,5113.0,5300.0,2303.0,55.8,927.0,0.2,,9.22,,10.4,122.0,39.3,0.63,2.27,3.53,69.2,19.1,0.96,1.09,DYNAMATECH
Capital Goods-Non Electrical Equipment companies,Swaraj Engines,https://www.screener.in/company/SWARAJENG/,2943.0,2423.0,2598.0,1396.0,21.5,254.0,3.8,,41.1,,13.0,73.6,33.4,1.21,22.5,6.74,62.2,31.0,0.93,0.0,SWARAJENG
Capital Goods-Non Electrical Equipment companies,Wendt India,https://www.screener.in/company/WENDT/consolidated/,2933.0,14663.0,15990.0,7290.0,71.8,977.0,0.55,,21.6,,12.2,101.0,58.0,0.2,13.6,8.3,66.0,44.8,0.92,0.0,WENDT
Capital Goods-Non Electrical Equipment companies,Balu Forge,https://www.screener.in/company/531112/consolidated/,2532.0,247.0,267.0,58.2,38.0,43.0,0.0,,21.9,,67.4,324.0,39.3,10.3,,7.57,54.5,2.32,0.92,0.16,531112
Capital Goods-Non Electrical Equipment companies,Disa India,https://www.screener.in/company/500068/consolidated/,2298.0,15805.0,17570.0,7600.0,59.8,1663.0,0.7,,14.0,,6.83,108.0,39.3,0.15,3.93,10.0,73.9,57.1,0.9,0.0,500068
Capital Goods-Non Electrical Equipment companies,Pitti Engg.,https://www.screener.in/company/PITTIENG/,2261.0,706.0,749.0,256.0,30.8,113.0,0.38,,19.0,,-7.42,176.0,39.3,3.21,28.0,5.76,55.3,7.04,0.94,1.32,PITTIENG
Capital Goods-Non Electrical Equipment companies,Ador Welding,https://www.screener.in/company/ADORWELD/,2057.0,1513.0,1620.0,777.0,29.6,243.0,1.16,,19.8,,18.5,94.7,30.4,1.36,13.9,6.62,56.8,14.4,0.93,0.1,ADORWELD
Capital Goods-Non Electrical Equipment companies,Jash Engineering,https://www.screener.in/company/JASH/consolidated/,1882.0,1564.0,1627.0,805.0,34.0,202.0,0.26,,24.3,,16.4,94.4,39.3,1.2,13.1,3.85,65.6,7.1,0.96,0.33,JASH
Capital Goods-Non Electrical Equipment companies,Shakti Pumps,https://www.screener.in/company/SHAKTIPUMP/consolidated/,1881.0,1024.0,1225.0,388.0,92.4,229.0,0.2,,5.95,,-32.1,164.0,32.7,1.84,36.2,16.4,56.0,3.19,0.84,0.32,SHAKTIPUMP
Capital Goods-Non Electrical Equipment companies,John Cockerill,https://www.screener.in/company/500147/,1515.0,3067.0,3290.0,1266.0,46.6,407.0,0.16,,8.01,,198.0,142.0,39.3,0.49,9.19,6.79,51.2,14.1,0.93,0.0,500147
Capital Goods-Non Electrical Equipment companies,Roto Pumps,https://www.screener.in/company/ROTO/consolidated/,1322.0,421.0,449.0,223.0,32.7,56.2,0.75,,22.4,,37.4,89.2,32.7,3.14,19.5,6.25,64.2,4.05,0.94,0.27,ROTO
Capital Goods-Non Electrical Equipment companies,Hercules Hoists,https://www.screener.in/company/HERCULES/,1124.0,351.0,388.0,170.0,39.4,253.0,0.57,,3.88,,31.0,106.0,39.3,3.2,22.0,9.47,51.8,2.79,0.91,0.01,HERCULES
Capital Goods-Non Electrical Equipment companies,Kilburn Engg.,https://www.screener.in/company/522101/,1042.0,277.0,304.0,73.6,28.2,36.2,0.36,,33.7,,40.5,277.0,39.3,3.76,19.1,8.95,51.7,2.67,0.91,0.47,522101
Capital Goods-Non Electrical Equipment companies,Integra Engg.,https://www.screener.in/company/505358/,933.0,272.0,324.0,82.6,43.3,20.3,0.0,,34.4,,23.4,229.0,39.3,3.44,28.4,16.2,48.3,1.01,0.84,0.29,505358
Capital Goods-Non Electrical Equipment companies,Yuken India,https://www.screener.in/company/YUKEN/consolidated/,930.0,715.0,824.0,446.0,126.0,206.0,0.11,,4.15,,4.59,60.3,39.3,1.3,15.4,13.2,62.7,3.06,0.87,0.27,YUKEN
Capital Goods-Non Electrical Equipment companies,Eimco Elecon(I),https://www.screener.in/company/EIMCOELECO/,923.0,1600.0,1899.0,333.0,28.2,631.0,0.31,,6.16,,52.9,380.0,39.3,0.58,17.0,15.8,44.3,20.5,0.84,0.0,EIMCOELECO
Capital Goods-Non Electrical Equipment companies,Taneja Aerospace,https://www.screener.in/company/522229/consolidated/,873.0,350.0,390.0,102.0,73.0,44.0,1.14,,10.3,,12.8,245.0,39.3,2.49,-0.4,10.3,65.4,1.07,0.9,0.0,522229
Capital Goods-Non Electrical Equipment companies,Walchan. Inds.,https://www.screener.in/company/WALCHANNAG/,868.0,189.0,209.0,49.8,,52.8,0.0,,-44.0,,8.21,279.0,39.3,4.6,2.62,9.7,53.5,-1.77,0.9,1.13,WALCHANNAG
Capital Goods-Non Electrical Equipment companies,DE Nora India,https://www.screener.in/company/DENORA/,815.0,1535.0,2337.0,649.0,34.0,203.0,0.13,,22.1,,-7.4,136.0,39.3,0.53,15.1,34.3,37.0,12.0,0.66,0.0,DENORA
Capital Goods-Non Electrical Equipment companies,Artson Engg.,https://www.screener.in/company/522134/,661.0,179.0,218.0,62.0,,-0.29,0.0,,,,-17.5,189.0,29.8,3.69,-6.93,17.9,49.5,0.87,0.82,,522134
Capital Goods-Non Electrical Equipment companies,Lokesh Mach.,https://www.screener.in/company/LOKESHMACH/,652.0,364.0,392.0,104.0,68.6,91.1,0.0,,5.63,,11.5,250.0,39.3,1.79,24.0,6.98,69.6,1.84,0.93,0.69,LOKESHMACH
Capital Goods-Non Electrical Equipment companies,Orient Ceratech,https://www.screener.in/company/ORIENTCER/,611.0,51.0,64.0,21.8,41.6,22.1,0.49,,4.99,,7.71,135.0,58.0,12.0,-6.37,20.2,40.4,0.37,0.8,0.1,ORIENTCER
Capital Goods-Non Electrical Equipment companies,Bajaj Steel Inds,https://www.screener.in/company/507944/consolidated/,607.0,1167.0,1399.0,804.0,9.78,572.0,0.26,,24.8,,28.6,45.2,39.3,0.52,8.76,16.6,72.6,32.7,0.83,0.11,507944
Capital Goods-Non Electrical Equipment companies,Sika Interplant,https://www.screener.in/company/523606/consolidated/,603.0,1422.0,1600.0,520.0,50.5,222.0,0.28,,10.5,,22.0,174.0,39.3,0.42,-1.49,11.1,56.6,11.8,0.89,0.0,523606
Capital Goods-Non Electrical Equipment companies,Intl. Conveyors,https://www.screener.in/company/INTLCONV/consolidated/,577.0,91.0,105.0,40.0,11.2,39.9,1.21,,13.0,,-26.7,128.0,39.3,6.34,29.6,12.9,50.2,3.61,0.87,0.47,INTLCONV
Capital Goods-Non Electrical Equipment companies,Windsor Machines,https://www.screener.in/company/WINDMACHIN/consolidated/,554.0,85.3,105.0,34.6,79.4,42.1,1.17,,1.65,,-0.86,146.0,39.3,6.49,10.1,18.6,45.3,0.22,0.81,0.15,WINDMACHIN
Capital Goods-Non Electrical Equipment companies,United Drilling,https://www.screener.in/company/UNIDT/consolidated/,548.0,270.0,308.0,168.0,58.5,122.0,0.67,,4.22,,-40.3,60.4,39.3,2.03,,12.3,58.8,1.43,0.88,0.15,UNIDT
Capital Goods-Non Electrical Equipment companies,Mazda,https://www.screener.in/company/MAZDA/,524.0,1308.0,1450.0,595.0,16.8,484.0,1.07,,15.4,,26.9,120.0,39.3,0.4,2.15,9.8,51.8,15.5,0.9,0.0,MAZDA
Capital Goods-Non Electrical Equipment companies,Stovec Inds.,https://www.screener.in/company/504959/,522.0,2496.0,2700.0,1810.0,77.9,806.0,1.88,,11.5,,-9.45,37.9,77.9,0.21,6.68,7.55,67.8,2.73,0.92,0.0,504959
Capital Goods-Non Electrical Equipment companies,Ador Fontech,https://www.screener.in/company/530431/,493.0,141.0,158.0,77.0,19.1,41.2,3.55,,15.8,,5.45,83.0,30.4,3.5,5.91,11.1,49.2,1.91,0.89,0.0,530431
Capital Goods-Non Electrical Equipment companies,Veljan Denison,https://www.screener.in/company/505232/,443.0,1968.0,2195.0,1106.0,29.2,843.0,0.66,,8.23,,0.52,77.9,39.3,0.23,10.2,10.4,54.8,19.2,0.9,0.05,505232
Capital Goods-Non Electrical Equipment companies,TIL,https://www.screener.in/company/TIL/consolidated/,376.0,375.0,441.0,103.0,,-311.0,0.0,,,,-8.37,265.0,39.3,1.0,-51.2,15.0,47.9,-20.3,0.85,,TIL
Capital Goods-Non Electrical Equipment companies,Intl. Combustion,https://www.screener.in/company/505737/,354.0,1479.0,1580.0,318.0,20.1,465.0,0.2,,8.44,,35.0,364.0,39.3,0.24,21.5,6.37,72.1,21.0,0.94,0.2,505737
Capital Goods-Non Electrical Equipment companies,Birla Precision,https://www.screener.in/company/522105/,340.0,52.0,65.5,28.2,39.3,21.1,0.0,,9.52,,-14.7,84.5,39.3,6.53,13.4,20.6,53.7,0.39,0.79,0.24,522105
Capital Goods-Non Electrical Equipment companies,Hind.Urban Infra,https://www.screener.in/company/539984/consolidated/,325.0,2254.0,2894.0,1500.0,,2541.0,0.0,,-11.9,,-21.5,50.3,,0.14,2.04,22.1,50.2,-37.4,0.78,0.96,539984
Capital Goods-Non Electrical Equipment companies,Guj Apollo Inds,https://www.screener.in/company/GUJAPOLLO/consolidated/,307.0,260.0,270.0,178.0,29.9,409.0,0.77,,2.24,,-31.6,46.3,39.3,1.18,39.4,3.56,69.2,4.42,0.96,0.06,GUJAPOLLO
Capital Goods-Non Electrical Equipment companies,Fluidomat,https://www.screener.in/company/522017/,296.0,600.0,655.0,190.0,26.2,110.0,0.75,,21.2,,23.2,216.0,39.3,0.49,21.2,8.46,73.2,7.14,0.92,0.0,522017
Capital Goods-Non Electrical Equipment companies,Aaron Industries,https://www.screener.in/company/AARON/,295.0,282.0,326.0,160.0,51.7,30.9,0.35,,29.7,,22.7,76.3,39.3,1.05,37.7,13.6,50.9,1.15,0.86,0.61,AARON
Capital Goods-Non Electrical Equipment companies,Josts Engg. Co.,https://www.screener.in/company/505750/consolidated/,293.0,629.0,698.0,176.0,39.4,83.4,0.24,,20.2,,17.4,257.0,39.3,0.47,14.5,9.9,53.2,4.72,0.9,0.25,505750
Capital Goods-Non Electrical Equipment companies,TRF,https://www.screener.in/company/TRF/consolidated/,279.0,254.0,293.0,153.0,6.12,44.4,0.0,,,,-16.8,65.8,39.3,1.1,-1.52,13.3,48.1,16.7,0.87,1.83,TRF
Capital Goods-Non Electrical Equipment companies,GEE,https://www.screener.in/company/504028/,277.0,106.0,106.0,61.0,31.2,77.2,0.0,,5.89,,5.71,74.5,30.4,2.6,13.3,0.0,83.7,2.08,1.0,0.46,504028
Capital Goods-Non Electrical Equipment companies,Guj. Toolroom,https://www.screener.in/company/513337/,269.0,48.4,60.3,8.58,59.0,1.72,0.0,,43.0,,228643.0,464.0,39.3,5.56,,19.8,41.1,0.43,0.8,0.0,513337
Capital Goods-Non Electrical Equipment companies,Batliboi,https://www.screener.in/company/522004/consolidated/,232.0,80.0,110.0,47.2,16.7,48.5,0.0,,8.07,,16.1,69.7,39.3,2.9,9.14,27.2,33.9,0.83,0.73,0.55,522004
Capital Goods-Non Electrical Equipment companies,Atam Valves,https://www.screener.in/company/ATAM/,225.0,214.0,270.0,128.0,30.1,24.3,0.7,,42.1,,141.0,66.6,32.7,1.05,44.4,20.9,59.1,1.25,0.79,0.47,ATAM
Capital Goods-Non Electrical Equipment companies,Patels Airtemp,https://www.screener.in/company/517417/,225.0,411.0,469.0,190.0,17.7,246.0,0.73,,9.3,,7.7,116.0,39.3,0.55,5.84,12.4,49.4,6.07,0.88,0.71,517417
Capital Goods-Non Electrical Equipment companies,Panasonic Carbon,https://www.screener.in/company/508941/,221.0,461.0,500.0,285.0,15.0,307.0,2.6,,9.13,,-11.2,61.6,16.8,0.48,3.66,7.86,53.0,9.42,0.92,0.0,508941
Capital Goods-Non Electrical Equipment companies,Bemco Hydraulics,https://www.screener.in/company/522650/consolidated/,208.0,952.0,1150.0,397.0,30.3,237.0,0.0,,8.6,,-2.45,139.0,39.3,0.22,14.3,17.3,55.0,12.0,0.83,0.21,522650
Capital Goods-Non Electrical Equipment companies,Latteys Industri,https://www.screener.in/company/LATTEYS/consolidated/,201.0,34.9,51.9,13.0,151.0,3.14,0.0,,,,,168.0,39.3,5.75,,32.8,55.2,0.04,0.67,0.81,LATTEYS
Capital Goods-Non Electrical Equipment companies,Brady & Morris,https://www.screener.in/company/505690/,199.0,882.0,999.0,155.0,31.3,82.8,0.0,,39.0,,-0.61,468.0,39.3,0.23,11.5,11.7,80.8,8.58,0.88,0.6,505690
Capital Goods-Non Electrical Equipment companies,KPT Industries,https://www.screener.in/company/505299/,192.0,566.0,594.0,201.0,19.1,144.0,0.26,,21.1,,17.4,182.0,39.3,0.34,12.3,4.71,62.6,8.71,0.95,0.74,505299
Capital Goods-Non Electrical Equipment companies,Cenlub Industrie,https://www.screener.in/company/522251/,186.0,399.0,469.0,118.0,22.8,111.0,0.0,,15.2,,3.75,238.0,39.3,0.47,11.4,14.9,44.3,6.31,0.85,0.08,522251
Capital Goods-Non Electrical Equipment companies,Felix Industries,https://www.screener.in/company/FELIX/,185.0,251.0,251.0,69.0,139.0,22.7,0.0,,14.4,,14.4,263.0,39.3,0.74,118.0,0.0,91.7,1.31,1.0,0.18,FELIX
Capital Goods-Non Electrical Equipment companies,Justride Enterp.,https://www.screener.in/company/531035/,172.0,114.0,114.0,9.05,749.0,9.86,0.0,,,,,1159.0,749.0,1.51,,0.0,100.0,0.08,1.0,0.0,531035
Capital Goods-Non Electrical Equipment companies,Alphalogic Indu,https://www.screener.in/company/543937/,158.0,155.0,194.0,47.8,72.1,17.5,0.0,,84.4,,130.0,224.0,39.3,1.02,,20.3,41.8,1.09,0.8,0.24,543937
Capital Goods-Non Electrical Equipment companies,T & I Global,https://www.screener.in/company/522294/,157.0,310.0,352.0,89.8,13.0,164.0,0.0,,11.2,,84.1,245.0,39.3,0.51,16.7,12.2,52.5,8.27,0.88,0.0,522294
Capital Goods-Non Electrical Equipment companies,Welcast Steels,https://www.screener.in/company/504988/,94.8,1481.0,1648.0,533.0,431.0,594.0,0.17,,7.37,,-27.0,178.0,58.0,0.06,-14.4,10.1,55.0,32.8,0.9,0.0,504988
Capital Goods-Non Electrical Equipment companies,ITL Industries,https://www.screener.in/company/522183/consolidated/,94.0,293.0,355.0,165.0,12.1,207.0,0.34,,13.1,,9.11,77.6,39.3,0.32,22.0,17.4,44.5,6.24,0.83,0.35,522183
Capital Goods-Non Electrical Equipment companies,Auro Impex,https://www.screener.in/company/AUROIMPEX/,90.1,73.8,88.9,55.2,14.0,27.7,0.0,,57.3,,64.8,33.9,30.4,1.22,69.5,16.9,53.0,2.75,0.83,1.07,AUROIMPEX
Capital Goods-Non Electrical Equipment companies,G G Automotive,https://www.screener.in/company/531399/,83.7,100.0,112.0,28.3,25.3,3.1,0.0,,9.08,,37.9,255.0,39.3,0.83,11.3,10.1,48.4,0.17,0.9,1.3,531399
