,company_url,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity
373,https://www.screener.in/company/NTPC/consolidated/,290174.0,299.0,326.0,163.0,15.2,158.0,2.42,9.83,12.0,10.0,12.2,84.1,22.0,970.0,17.2,8.09,46.5,4.76,0.92,1.45
374,https://www.screener.in/company/JBCHEPHARM/consolidated/,24759.0,1595.0,1734.0,875.0,50.9,175.0,0.56,22.4,17.6,1.0,18.2,82.3,35.8,15.5,21.1,8.04,48.6,9.72,0.92,0.16
375,https://www.screener.in/company/TATAINVEST/consolidated/,22191.0,4383.0,4737.0,1730.0,68.3,4691.0,1.1,1.42,1.28,10.0,10.3,153.0,22.1,5.06,24.5,7.46,60.2,24.6,0.93,0.01
376,https://www.screener.in/company/BAJFINANCE/consolidated/,449132.0,7266.0,8192.0,5486.0,34.2,988.0,0.41,11.8,23.5,2.0,31.9,32.4,22.1,61.8,16.2,11.3,39.7,58.6,0.89,4.28
377,https://www.screener.in/company/HINDUNILVR/consolidated/,598466.0,2548.0,2770.0,2393.0,57.9,214.0,1.53,26.6,20.5,1.0,8.7,6.48,58.5,235.0,15.0,8.0,45.2,11.3,0.92,0.03
378,https://www.screener.in/company/M&MFIN/consolidated/,34312.0,278.0,347.0,216.0,17.4,151.0,2.16,8.87,11.9,2.0,20.8,28.8,22.1,124.0,2.26,19.8,51.9,2.27,0.8,4.86
379,https://www.screener.in/company/KOTAKBANK/consolidated/,353206.0,1777.0,2064.0,1644.0,20.6,563.0,0.08,6.86,14.3,5.0,35.4,8.14,14.4,199.0,7.99,13.9,35.5,22.4,0.86,3.75
380,https://www.screener.in/company/FDC/consolidated/,7122.0,438.0,446.0,245.0,28.4,121.0,0.0,12.8,9.63,1.0,15.1,78.8,35.8,16.3,9.91,1.7,68.8,4.29,0.98,0.01
381,https://www.screener.in/company/PIDILITIND/consolidated/,137116.0,2698.0,2805.0,2250.0,91.1,148.0,0.41,23.8,18.7,1.0,4.95,19.9,34.3,50.9,17.4,3.8,51.3,8.85,0.96,0.06
382,https://www.screener.in/company/JSWSTEEL/consolidated/,196577.0,804.0,896.0,649.0,22.1,302.0,0.42,8.33,5.64,1.0,4.89,23.8,16.5,245.0,31.3,10.3,37.5,11.3,0.9,1.11
