Company_Type,Tiker_name,Company_name,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Company_link
Construction companies,HGINFRA,KNR Construct.,5524.0,848.0,1019.0,616.0,10.1,331.0,,25.4,29.4,10.0,28.1,37.6,25.6,6.52,27.8,16.8,49.0,14.8,0.83,0.67,https://www.screener.in/company/HGINFRA/consolidated/
Construction companies,RAMKY,H.G. Infra Engg.,5479.0,792.0,824.0,252.0,23.0,234.0,,15.8,8.79,10.0,29.3,215.0,25.6,6.92,7.12,3.91,60.7,16.3,0.96,0.81,https://www.screener.in/company/RAMKY/consolidated/
Construction companies,ITDCEM,Ramky Infra,4907.0,286.0,305.0,93.2,27.3,77.2,,18.8,10.4,1.0,48.7,206.0,25.6,17.2,21.2,6.34,57.5,3.12,0.94,0.57,https://www.screener.in/company/ITDCEM/consolidated/
Construction companies,JPASSOCIAT,ITD Cem,4860.0,19.8,23.2,6.55,,-6.84,,2.74,,2.0,-0.46,202.0,25.6,245.0,1.07,14.7,50.7,-1.0,0.85,,https://www.screener.in/company/JPASSOCIAT/consolidated/
Construction companies,PATELENG,JP Associates,4653.0,60.2,69.7,13.1,23.9,38.2,,13.7,6.93,1.0,17.8,359.0,25.6,77.4,17.1,13.8,54.9,0.49,0.86,0.68,https://www.screener.in/company/PATELENG/consolidated/
Construction companies,WELENT,Patel Engineerin,4516.0,326.0,350.0,117.0,14.1,158.0,,9.99,13.1,10.0,50.0,178.0,25.6,13.8,15.1,6.79,51.1,4.48,0.93,0.33,https://www.screener.in/company/WELENT/consolidated/
Construction companies,HCC,Welspun Enterp,4327.0,28.6,33.8,12.5,,-4.33,,16.9,,1.0,-11.0,129.0,25.6,151.0,1.43,15.5,42.5,-0.02,0.84,,https://www.screener.in/company/HCC/consolidated/
Construction companies,GANESHHOUC,Hind.Construct.,3473.0,417.0,492.0,261.0,11.3,160.0,,23.0,10.5,10.0,13.0,59.4,25.6,8.34,32.1,15.3,61.7,10.3,0.85,0.02,https://www.screener.in/company/GANESHHOUC/consolidated/
Construction companies,PSPPROJECT,Ganesh Housing,2759.0,766.0,846.0,652.0,17.5,241.0,,24.8,18.1,10.0,34.4,17.6,25.6,3.6,8.72,9.4,50.1,11.0,0.91,0.46,https://www.screener.in/company/PSPPROJECT/
Construction companies,VPRPL,PSP Projects,2692.0,216.0,242.0,144.0,29.7,48.8,,33.9,38.3,10.0,48.7,50.0,25.6,12.5,46.4,10.9,54.4,1.7,0.89,0.5,https://www.screener.in/company/VPRPL/
Construction companies,EMSLIMITED,Vishnu Prakash R,2357.0,424.0,488.0,246.0,21.9,,,32.7,24.8,10.0,49.6,72.2,25.6,,18.2,13.0,50.3,,0.87,0.07,https://www.screener.in/company/EMSLIMITED/consolidated/
Construction companies,SHRIRAMPPS,EMS,2081.0,122.0,130.0,53.0,28.0,73.3,,10.1,5.61,10.0,-8.72,131.0,25.6,17.0,5.65,5.67,58.3,1.19,0.94,0.53,https://www.screener.in/company/SHRIRAMPPS/consolidated/
Construction companies,VASCONEQ,Shriram Properti,1523.0,70.1,84.5,23.8,15.5,43.2,,11.3,11.3,10.0,24.3,194.0,25.6,21.7,25.1,17.0,41.2,0.95,0.83,0.2,https://www.screener.in/company/VASCONEQ/consolidated/
Construction companies,514360,Vascon Engineers,1516.0,716.0,863.0,60.6,241.0,53.8,,,,10.0,,1082.0,25.6,2.12,,17.1,48.0,4.46,0.83,0.0,https://www.screener.in/company/514360/consolidated/
Construction companies,504000,K&R Rail Engine.,1477.0,87.1,98.0,53.0,29.0,84.4,,4.17,2.97,1.0,78.1,64.4,25.6,17.0,3.88,11.0,46.3,1.08,0.89,0.16,https://www.screener.in/company/504000/consolidated/
Construction companies,BLKASHYAP,Elpro Internatio,1442.0,64.0,76.9,26.1,27.6,20.7,,13.8,9.98,1.0,-6.36,145.0,25.6,22.5,10.6,16.9,45.8,0.53,0.83,0.66,https://www.screener.in/company/BLKASHYAP/consolidated/
Construction companies,INDIANHUME,B.L.Kashyap,1279.0,243.0,304.0,116.0,26.9,146.0,,11.6,8.26,2.0,1.84,110.0,25.6,5.27,-1.69,20.1,40.7,1.96,0.8,0.76,https://www.screener.in/company/INDIANHUME/
Construction companies,GIRIRAJ,Indian Hume Pipe,1047.0,438.0,593.0,30.8,234.0,30.2,,11.0,8.34,10.0,39.9,1321.0,25.6,2.39,57.3,26.2,54.9,0.79,0.74,0.69,https://www.screener.in/company/GIRIRAJ/
Construction companies,GPTINFRA,Giriraj Civil,960.0,165.0,168.0,42.6,22.4,50.4,,14.2,11.1,10.0,22.6,287.0,25.6,5.82,9.4,1.84,78.3,2.32,0.98,0.83,https://www.screener.in/company/GPTINFRA/consolidated/
Construction companies,BLAL,GPT Infraproject,869.0,209.0,305.0,136.0,,,,-13.8,-14.7,10.0,,53.4,25.6,4.16,,31.5,77.4,-0.47,0.68,0.0,https://www.screener.in/company/BLAL/
Construction companies,MBLINFRA,BEML Land Assets,473.0,45.2,54.0,14.4,,73.2,,6.4,-6.23,10.0,-5.31,215.0,25.6,10.5,-9.18,16.3,49.8,-1.06,0.84,1.45,https://www.screener.in/company/MBLINFRA/consolidated/
Construction companies,PARSVNATH,MBL Infrast,468.0,10.8,13.6,6.0,,-31.6,,-4.78,,5.0,-44.6,79.2,25.6,43.5,-28.3,21.1,43.7,-1.72,0.79,,https://www.screener.in/company/PARSVNATH/consolidated/
Construction companies,SPMLINFRA,Parsvnath Devl.,461.0,94.0,101.0,16.8,49.2,69.3,,2.51,0.11,2.0,55.9,461.0,25.6,4.9,-19.7,7.16,65.0,0.07,0.93,5.17,https://www.screener.in/company/SPMLINFRA/consolidated/
Construction companies,SIMPLEXINF,SPML Infra,458.0,80.2,86.5,29.8,,25.6,,-0.67,-100.0,2.0,-21.2,169.0,25.6,5.71,-22.5,7.3,56.2,-1.27,0.93,43.0,https://www.screener.in/company/SIMPLEXINF/consolidated/
Construction companies,RPPINFRA,Simplex Infra,441.0,116.0,116.0,38.2,8.63,109.0,,12.8,7.63,10.0,17.6,204.0,25.6,3.79,20.1,0.14,78.8,4.49,1.0,0.21,https://www.screener.in/company/RPPINFRA/consolidated/
Construction companies,BRNL,RPP Infra Proj.,418.0,49.8,58.4,23.0,,27.9,,-2.35,-52.5,10.0,52.8,117.0,25.6,8.39,2.93,14.6,56.2,-6.64,0.85,5.84,https://www.screener.in/company/BRNL/consolidated/
Construction companies,541353,Bharat Road,418.0,222.0,288.0,63.6,34.0,71.8,,9.96,6.68,10.0,59.6,249.0,25.6,1.89,8.64,23.2,50.4,2.68,0.77,0.42,https://www.screener.in/company/541353/consolidated/
Construction companies,526961,Innovators,414.0,314.0,321.0,78.8,,18.3,,32.8,35.0,10.0,0.56,298.0,25.6,1.32,136.0,2.06,83.7,-0.14,0.98,0.64,https://www.screener.in/company/526961/
Construction companies,RBMINFRA,Last Mile Enter.,374.0,443.0,443.0,45.0,101.0,23.0,,19.9,18.5,10.0,112.0,886.0,25.6,0.84,33.3,0.0,72.8,2.55,1.0,0.42,https://www.screener.in/company/RBMINFRA/
Construction companies,543542,RBM Infracon,373.0,1056.0,1628.0,100.0,44.0,72.7,,8.76,7.08,10.0,-693.0,952.0,25.6,0.35,216.0,35.1,38.3,18.4,0.65,0.06,https://www.screener.in/company/543542/
Construction companies,SADBHAV,Kesar India,367.0,21.4,24.5,8.5,,7.34,,4.85,-60.2,1.0,-4.04,152.0,25.6,17.2,-20.1,12.8,51.3,-12.2,0.87,35.8,https://www.screener.in/company/SADBHAV/consolidated/
Construction companies,NILAINFRA,Sadbhav Engg.,356.0,9.05,9.75,4.23,134.0,3.44,,6.05,-0.27,1.0,54.2,114.0,25.6,39.4,-22.1,7.18,68.3,0.06,0.93,0.46,https://www.screener.in/company/NILAINFRA/consolidated/
Construction companies,539894,Nila Infrastruct,318.0,11.8,14.2,3.55,14.0,6.88,,13.2,12.8,1.0,23.1,232.0,25.6,27.0,36.1,16.6,67.9,0.26,0.83,0.97,https://www.screener.in/company/539894/consolidated/
Construction companies,526519,Madhav Infra,316.0,183.0,200.0,99.5,87.6,44.7,,4.64,3.24,10.0,17.4,83.6,25.6,1.73,5.56,8.54,70.7,0.5,0.91,0.27,https://www.screener.in/company/526519/
Construction companies,543539,Alpine Housing,279.0,165.0,220.0,135.0,49.1,19.7,,29.8,31.9,10.0,111.0,22.2,25.6,1.69,,25.0,39.6,1.67,0.75,0.4,https://www.screener.in/company/543539/consolidated/
Construction companies,ABINFRA,Modi's Navnirman,252.0,57.0,57.0,11.8,42.0,17.5,,20.2,19.0,10.0,91.4,381.0,25.6,4.42,24.6,0.0,69.9,1.58,1.0,0.29,https://www.screener.in/company/ABINFRA/
Construction companies,GENCON,A B Infrabuild,225.0,42.4,70.0,30.4,15.7,47.6,,11.3,6.94,5.0,-15.0,39.2,25.6,5.3,10.8,39.4,48.9,0.61,0.61,0.27,https://www.screener.in/company/GENCON/
Construction companies,539112,Generic Engineer,222.0,146.0,151.0,67.0,2.93,272.0,,,4.46,10.0,,118.0,25.6,1.52,,3.25,58.1,22.1,0.97,0.1,https://www.screener.in/company/539112/consolidated/
Construction companies,CHAVDA,SAB Industries,220.0,89.4,110.0,77.0,18.3,32.6,,28.4,49.4,10.0,47.4,16.1,25.6,2.47,,18.6,51.1,2.69,0.81,0.69,https://www.screener.in/company/CHAVDA/
Construction companies,543241,Chavda Infra Ltd,211.0,130.0,133.0,64.3,232.0,19.4,,4.01,2.8,10.0,133.0,102.0,25.6,1.62,10.0,2.26,62.2,0.26,0.98,0.01,https://www.screener.in/company/543241/
Construction companies,530677,Veer Global Inf.,211.0,59.4,129.0,58.0,17.8,153.0,,4.22,3.59,10.0,-4.23,2.43,25.6,3.55,-2.27,53.9,38.8,0.84,0.46,0.01,https://www.screener.in/company/530677/consolidated/
Construction companies,531540,Supreme Holdings,205.0,164.0,169.0,55.0,87.9,20.4,,6.54,4.32,10.0,37.9,198.0,25.6,1.25,,3.02,63.0,0.49,0.97,1.68,https://www.screener.in/company/531540/consolidated/
Construction companies,543391,Maruti Infra.,199.0,80.0,112.0,45.0,49.7,5.22,,5.96,3.09,10.0,59.6,77.7,25.6,2.49,10.9,28.9,43.7,1.12,0.71,5.9,https://www.screener.in/company/543391/
Construction companies,GAYAPROJ,Suyog Gurbaxani,192.0,10.2,10.3,4.54,,-35.5,,-16.6,-172.0,2.0,-65.1,126.0,25.6,18.7,-3.6,0.87,83.2,-15.6,0.99,,https://www.screener.in/company/GAYAPROJ/consolidated/
Construction companies,543376,Gayatri Projects,189.0,88.0,130.0,20.8,,17.8,,3.02,0.67,10.0,-85.2,323.0,25.6,2.15,135.0,32.6,44.2,-0.03,0.67,0.27,https://www.screener.in/company/543376/
Construction companies,540796,Samor Reality,188.0,138.0,162.0,71.6,785.0,25.6,,6.19,0.66,10.0,100.0,92.0,25.6,1.37,,15.0,66.5,0.04,0.85,3.99,https://www.screener.in/company/540796/consolidated/
Construction companies,NILASPACES,Ratnabhumi Dev.,187.0,4.75,5.77,2.4,,2.89,,-4.98,-3.65,1.0,-100.0,97.9,25.6,39.4,-77.4,17.7,60.4,0.0,0.82,0.0,https://www.screener.in/company/NILASPACES/consolidated/
Construction companies,535693,Nila Spaces,183.0,63.1,71.5,26.0,14.3,56.1,,8.74,7.42,10.0,15.3,143.0,25.6,2.9,5.98,11.7,63.6,1.33,0.88,1.14,https://www.screener.in/company/535693/consolidated/
Construction companies,NIRAJ,Brahmaputra Inf.,175.0,43.7,48.7,24.0,17.0,43.6,,5.79,3.82,10.0,53.5,82.5,25.6,4.02,69.8,10.3,51.9,0.21,0.9,0.01,https://www.screener.in/company/NIRAJ/
Construction companies,RKEC,Niraj Cement,175.0,73.1,90.8,43.6,12.8,63.5,,18.9,11.9,10.0,21.5,67.8,25.6,2.4,0.23,19.5,49.7,0.37,0.81,0.88,https://www.screener.in/company/RKEC/
Construction companies,RILINFRA,RKEC Projects,164.0,88.0,995.0,85.6,65.5,48.9,,6.37,3.13,10.0,1.38,2.86,25.6,1.86,-25.6,91.2,42.6,0.46,0.09,0.17,https://www.screener.in/company/RILINFRA/
Construction companies,SADBHIN,Rachana Infra.,164.0,4.65,6.29,2.85,1.07,-10.3,,12.3,172.0,10.0,-27.6,63.2,25.6,35.2,-28.6,26.1,52.3,-8.52,0.74,,https://www.screener.in/company/SADBHIN/consolidated/
Construction companies,PANSARI,Sadbhav Infra.,157.0,90.1,152.0,63.5,57.4,70.8,,1.81,1.6,10.0,-43.8,41.9,25.6,1.74,-13.5,40.7,59.8,0.47,0.59,0.73,https://www.screener.in/company/PANSARI/consolidated/
Construction companies,539861,Pansari Develop.,151.0,6.95,7.15,2.45,51.6,9.14,,0.21,,10.0,,184.0,25.6,21.7,,2.8,91.3,0.99,0.97,9.88,https://www.screener.in/company/539861/consolidated/
Construction companies,533285,SKIL Infrastr,145.0,83.8,90.0,32.1,8.0,95.7,,5.04,10.5,10.0,57.6,161.0,25.6,1.73,41.9,6.9,73.6,1.81,0.93,3.55,https://www.screener.in/company/533285/consolidated/
Construction companies,ARTNIRMAN,RDB Realty,141.0,56.4,93.9,40.5,123.0,14.0,,0.82,0.32,10.0,86.4,39.1,25.6,2.5,-31.8,40.0,52.3,0.27,0.6,0.02,https://www.screener.in/company/ARTNIRMAN/
Construction companies,532123,Art Nirman Ltd,134.0,16.2,17.7,4.34,2.6,54.9,,9.69,9.52,10.0,290.0,273.0,25.6,8.26,71.0,8.32,59.8,1.05,0.92,0.0,https://www.screener.in/company/532123/consolidated/
Construction companies,532159,BSEL ALGO,125.0,17.3,20.2,8.21,42.0,14.8,,1.06,0.91,10.0,-100.0,111.0,25.6,7.25,,14.3,52.9,-0.05,0.86,0.01,https://www.screener.in/company/532159/
Construction companies,526654,Trescon,125.0,139.0,194.0,110.0,21.0,162.0,,12.8,11.8,10.0,11.6,26.3,25.6,0.9,40.4,28.4,50.5,0.06,0.72,0.19,https://www.screener.in/company/526654/consolidated/
Construction companies,UNIVASTU,Thakkers Develp.,117.0,103.0,147.0,76.5,18.0,41.8,,19.3,15.8,10.0,88.0,34.6,25.6,1.14,-7.98,29.9,45.1,1.69,0.7,0.72,https://www.screener.in/company/UNIVASTU/consolidated/
Construction companies,512479,Univastu India,103.0,689.0,764.0,207.0,,38.6,,10.4,8.81,10.0,-100.0,233.0,25.6,0.15,5.03,9.86,61.7,-0.07,0.9,0.02,https://www.screener.in/company/512479/
Construction companies,504273,Virya Resources,92.0,13.3,15.1,6.4,,40.3,,-2.47,-3.76,10.0,,108.0,25.6,6.92,,11.9,65.0,-0.24,0.88,0.03,https://www.screener.in/company/504273/consolidated/
Construction companies,531494,Modulex Const.,87.3,3.89,12.6,3.81,39.0,7.04,,1.3,1.1,2.0,52.8,2.1,25.6,22.4,-35.5,69.0,33.4,0.03,0.31,0.01,https://www.screener.in/company/531494/
Construction companies,534338,Navkar Urban.,84.0,53.8,100.0,35.2,,18.6,,1.74,-3.01,10.0,153.0,53.1,25.6,1.56,-45.1,46.2,70.3,0.42,0.54,2.66,https://www.screener.in/company/534338/consolidated/
Construction companies,531694,Max Heights,78.0,15.7,17.0,7.6,66.7,14.0,,4.05,3.06,10.0,175.0,107.0,25.6,4.96,15.9,7.8,66.9,0.08,0.92,6.0,https://www.screener.in/company/531694/
Construction companies,AKASH,Rainbow Foundat.,62.1,36.8,42.0,22.5,,49.1,,4.97,1.66,10.0,-21.8,63.8,25.6,1.69,-5.27,12.4,61.3,0.27,0.88,0.97,https://www.screener.in/company/AKASH/consolidated/
Construction companies,EXCEL,Akash InfraProj.,56.4,0.4,0.56,0.3,,1.22,,-1.55,-1.55,1.0,-78.7,33.3,25.6,141.0,-11.5,28.6,58.7,0.0,0.71,0.0,https://www.screener.in/company/EXCEL/consolidated/
Construction companies,DESTINY,Excel Realty,56.2,36.5,56.4,12.5,42.2,17.4,,13.6,9.6,10.0,55.6,192.0,25.6,1.54,103.0,35.2,42.9,0.21,0.65,0.26,https://www.screener.in/company/DESTINY/
Construction companies,539189,Destiny Logistic,52.4,47.6,364.0,0.0,61.6,-5.66,,99.2,,10.0,9.09,,25.6,1.1,128.0,86.9,10.0,0.15,0.13,,https://www.screener.in/company/539189/
Construction companies,MADHUCON,Adhbhut Infra.,51.7,7.0,10.1,3.28,,-246.0,,-8.29,,1.0,7.07,113.0,25.6,7.38,16.6,31.0,34.0,-2.42,0.69,,https://www.screener.in/company/MADHUCON/consolidated/
Construction companies,536073,Madhucon Project,49.5,25.0,27.1,12.0,,20.0,,0.38,208.0,10.0,237.0,108.0,25.6,1.98,103.0,7.72,52.9,-0.05,0.92,0.0,https://www.screener.in/company/536073/
Construction companies,530695,Julien Agro,48.4,28.5,34.4,9.16,4.18,44.2,,0.21,9.09,5.0,-50.0,211.0,25.6,1.7,,17.0,50.6,2.76,0.83,0.0,https://www.screener.in/company/530695/consolidated/
Construction companies,531784,Prime Property,48.0,2.84,4.56,1.32,35.0,3.24,,4.54,2.61,2.0,-19.3,115.0,25.6,16.9,11.6,37.7,61.7,0.03,0.62,0.08,https://www.screener.in/company/531784/
Construction companies,533078,KCL Infra,44.7,35.7,36.7,29.8,,-91.4,,-1.46,,10.0,-44.7,19.8,25.6,1.25,-28.1,2.72,62.7,1.58,0.97,,https://www.screener.in/company/533078/consolidated/
Construction companies,SONUINFRA,Manjeera Constr.,44.6,56.8,78.4,30.3,15.7,30.0,,12.9,16.3,10.0,27.2,87.6,25.6,0.79,16.0,27.5,44.6,1.41,0.73,1.26,https://www.screener.in/company/SONUINFRA/
Construction companies,ARSSINFRA,Sonu Infratech,44.3,19.5,28.2,16.4,,-58.5,,0.58,,10.0,29.3,18.9,25.6,2.27,11.7,31.0,43.1,0.92,0.69,,https://www.screener.in/company/ARSSINFRA/
Construction companies,541112,ARSS Infra,39.2,29.7,80.0,19.6,979.0,17.2,,0.82,0.89,10.0,-65.1,50.9,25.6,1.32,18.7,62.9,47.3,0.03,0.37,0.0,https://www.screener.in/company/541112/
Construction companies,519331,Shreeshay Engi.,37.5,57.0,70.8,39.2,,4.64,,0.35,0.53,10.0,-56.8,45.2,25.6,0.66,9.54,19.5,52.3,-0.32,0.8,7.49,https://www.screener.in/company/519331/
Construction companies,512257,VSF Projects,35.4,3.93,4.55,2.26,13.6,2.35,,18.2,15.8,1.0,1.55,73.9,25.6,9.0,10.2,13.6,55.0,0.09,0.86,0.72,https://www.screener.in/company/512257/
Construction companies,536659,Swasti Vin. Art,34.6,20.1,28.5,11.8,,27.2,,0.09,0.09,10.0,827.0,69.8,25.6,1.72,-0.73,29.4,43.1,0.3,0.71,0.02,https://www.screener.in/company/536659/
Construction companies,530361,PVV Infra Ltd,33.5,53.6,86.2,36.1,29.9,10.6,,27.6,27.3,10.0,78.8,48.3,25.6,0.62,,37.9,69.7,0.45,0.62,0.04,https://www.screener.in/company/530361/
Construction companies,531416,Prabhhans Inds,32.8,46.2,48.3,14.6,2.82,59.6,,-5.84,-8.4,10.0,,216.0,25.6,0.71,,4.51,57.7,8.25,0.95,0.0,https://www.screener.in/company/531416/
Construction companies,538833,Narendra Prop.,26.3,12.3,15.6,8.73,,32.6,,0.81,0.56,10.0,4386.0,40.9,25.6,2.14,275.0,21.4,53.3,-0.01,0.79,0.0,https://www.screener.in/company/538833/
Construction companies,GAYAHWS,Kaizen Agro,24.0,1.0,1.35,0.55,,-63.0,,1.04,,2.0,-88.4,81.8,25.6,24.0,-52.1,25.9,47.1,-3.91,0.74,,https://www.screener.in/company/GAYAHWS/consolidated/
Construction companies,522231,Gayatri Highways,20.2,64.3,75.9,33.0,9.48,84.0,,10.3,7.94,10.0,-6.66,94.8,25.6,0.31,12.1,15.3,47.4,2.45,0.85,0.0,https://www.screener.in/company/522231/
Construction companies,511131,Conart Engineers,19.2,13.6,15.5,7.12,,51.0,,-2.97,-2.91,10.0,140.0,91.0,25.6,1.41,10.7,12.3,51.3,-0.06,0.88,0.02,https://www.screener.in/company/511131/
Construction companies,543745,Kamanwala Housin,18.8,8.79,23.6,6.67,26.8,15.5,,5.58,4.23,10.0,3800.0,31.8,25.6,2.13,-21.1,62.8,61.2,0.0,0.37,0.0,https://www.screener.in/company/543745/
Construction companies,532676,SVS Ventures,17.0,12.6,16.0,7.01,,-90.3,,-26.3,,10.0,873.0,79.7,25.6,1.35,-36.9,21.2,47.1,-1.1,0.79,,https://www.screener.in/company/532676/
Construction companies,AILIMITED,P B A Infra.,16.8,28.0,40.6,15.9,27.6,14.5,,12.1,8.24,10.0,47.7,75.5,25.6,0.6,214.0,31.2,44.9,0.45,0.69,0.41,https://www.screener.in/company/AILIMITED/
Construction companies,512064,Abhishek Integr.,16.3,95.0,112.0,65.0,181.0,25.7,,-0.63,-1.68,10.0,-0.31,46.2,25.6,0.17,-5.35,15.6,46.1,1.22,0.84,3.3,https://www.screener.in/company/512064/consolidated/
Construction companies,538770,Vishvprabha Ven.,13.4,18.4,35.6,9.17,11.7,40.5,,1.87,1.38,10.0,229.0,101.0,25.6,0.72,2.02,48.2,44.6,0.19,0.52,0.0,https://www.screener.in/company/538770/
Construction companies,531328,Crane Infra,12.4,0.79,0.95,0.43,68.8,1.05,,1.59,1.16,1.0,-100.0,83.7,25.6,15.7,,16.8,42.8,0.0,0.83,0.0,https://www.screener.in/company/531328/
Construction companies,DRL,Kretto Syscon,11.6,15.0,16.2,6.5,,9.03,,-0.05,-11.2,10.0,-75.3,131.0,25.6,0.77,-17.2,7.12,76.7,-0.36,0.93,1.39,https://www.screener.in/company/DRL/consolidated/
Construction companies,536128,Dhanuka Realty,11.4,0.48,0.49,0.27,571.0,1.1,,0.07,0.08,1.0,,77.8,25.6,23.8,,2.04,72.4,0.0,0.98,0.04,https://www.screener.in/company/536128/
Construction companies,539099,VKJ Infradevelop,11.2,15.0,28.8,0.0,,10.1,,2.66,0.27,10.0,55.2,,25.6,0.75,,47.9,41.7,0.24,0.52,1.29,https://www.screener.in/company/539099/
Construction companies,509845,Athena Construc.,10.1,360.0,425.0,315.0,12.9,1140.0,,2.61,1.66,10.0,,14.1,,0.03,-74.1,15.3,48.0,5.0,0.85,0.04,https://www.screener.in/company/509845/
Construction companies,SETUINFRA,R J Shah & Co,10.0,0.8,1.73,0.55,112.0,3.94,,0.44,0.18,1.0,-36.5,45.4,25.6,12.6,-23.2,53.8,49.3,0.09,0.46,1.59,https://www.screener.in/company/SETUINFRA/consolidated/
Construction companies,MANAV,Setubandhan Inf.,9.67,14.2,21.2,7.0,5.06,-4.58,,28.7,,10.0,85.4,102.0,25.6,0.68,11.5,33.2,41.6,0.13,0.67,,https://www.screener.in/company/MANAV/
Construction companies,508929,Manav Infra,9.4,39.2,39.2,26.1,,-39.2,,-12.5,,10.0,-100.0,50.1,25.6,0.24,,0.0,95.4,-0.83,1.0,,https://www.screener.in/company/508929/
Construction companies,542864,Joy Realty,8.65,28.6,33.3,28.6,78.6,13.3,,7.25,2.21,10.0,21.7,0.0,25.6,0.3,,14.2,21.0,-1.49,0.86,2.85,https://www.screener.in/company/542864/
Construction companies,538521,Mount Housing,8.6,27.8,29.0,16.2,108.0,11.8,,2.15,1.67,10.0,20.0,71.8,25.6,0.31,-25.2,4.21,67.5,0.03,0.96,0.2,https://www.screener.in/company/538521/
Construction companies,508961,Yaan Enterprises,8.3,66.9,66.9,31.2,83.0,29.3,,-3.62,-17.2,10.0,,114.0,25.6,0.12,,0.0,91.0,1.29,1.0,0.11,https://www.screener.in/company/508961/
Construction companies,CMMIPL,Shricon Indus.,8.23,5.25,7.8,3.4,,18.3,,-24.8,-50.2,10.0,16.6,54.4,25.6,1.57,15.3,32.7,70.3,0.11,0.67,2.6,https://www.screener.in/company/CMMIPL/
Construction companies,514332,CMM Infraproj,7.97,15.0,16.6,8.17,,10.6,,3.06,-2.76,10.0,8.59,83.6,25.6,0.53,-25.5,9.37,52.1,-0.45,0.91,2.6,https://www.screener.in/company/514332/consolidated/
Construction companies,522209,Neo Infracon,7.25,4.3,4.99,2.55,,21.1,,-0.34,-0.94,10.0,-56.9,68.6,25.6,1.68,,13.8,50.7,-0.21,0.86,0.83,https://www.screener.in/company/522209/consolidated/
Construction companies,500426,Yogi Infra Proj.,7.15,2.17,3.49,1.5,,1.3,,-1.99,-2.23,1.0,-42.9,44.7,25.6,3.3,-79.2,37.8,36.8,-0.01,0.62,0.0,https://www.screener.in/company/500426/
Construction companies,526187,UTL Industries,6.2,5.17,5.91,2.85,,10.8,,-1.95,-2.03,10.0,-20.0,81.4,25.6,1.2,-11.4,12.5,53.1,-0.03,0.87,0.01,https://www.screener.in/company/526187/
Construction companies,542924,Ashram Online,6.2,4.63,5.7,2.95,13.8,5.51,,3.34,2.45,10.0,-7.73,57.0,25.6,1.34,8.69,18.8,53.8,0.13,0.81,0.0,https://www.screener.in/company/542924/
Construction companies,509423,Janus Corporatio,5.74,18.2,27.4,14.9,,-38.2,,-6.65,,10.0,,22.0,25.6,0.32,,33.5,51.9,-0.1,0.66,,https://www.screener.in/company/509423/
Construction companies,542677,Sanathnagar Ent.,4.67,11.2,16.5,6.85,,9.39,,3.01,1.46,10.0,,64.1,25.6,0.42,,31.9,73.2,0.1,0.68,1.88,https://www.screener.in/company/542677/
Construction companies,538794,Mahesh Developer,4.47,10.7,45.0,0.0,14.9,13.4,,0.82,1.08,10.0,253.0,,25.6,0.42,1.49,76.3,51.2,0.05,0.24,0.08,https://www.screener.in/company/538794/
Construction companies,526865,Jet Infraventure,4.05,4.05,5.23,2.96,,10.6,,0.58,0.09,10.0,-12.1,36.8,25.6,1.0,38.7,22.6,44.6,0.0,0.77,0.46,https://www.screener.in/company/526865/
Construction companies,532766,Jainco Projects,3.77,1.61,2.36,1.15,,-107.0,,-16.8,,10.0,-17.7,40.0,25.6,2.34,-43.3,31.8,54.2,-42.2,0.68,,https://www.screener.in/company/532766/
Construction companies,531155,Richa Industries,3.49,4.69,9.41,3.13,,-1.44,,-491.0,,10.0,,49.8,25.6,0.75,,50.2,54.8,-0.09,0.5,,https://www.screener.in/company/531155/
Construction companies,539544,Epsom Properties,3.15,6.24,7.8,3.35,,8.34,,0.0,0.0,10.0,-99.6,86.3,25.6,0.5,,20.0,53.3,-0.18,0.8,0.26,https://www.screener.in/company/539544/consolidated/
Construction companies,526823,Abhishek Infra.,2.81,5.09,8.92,3.5,,-1.05,,-13.1,,10.0,-81.3,45.4,25.6,0.55,-33.4,42.9,73.1,-0.05,0.57,,https://www.screener.in/company/526823/
Construction companies,540134,Rajeswari Infra.,2.53,3.91,4.44,2.38,,10.5,,-0.14,-0.15,10.0,,64.3,25.6,0.65,,11.9,54.8,-0.05,0.88,0.04,https://www.screener.in/company/540134/
Construction companies,543366,Ishaan Infrastru,2.33,28.8,97.0,25.9,,42.0,,-15.5,-15.3,10.0,-91.3,11.0,25.6,0.08,,70.4,42.3,-1.48,0.3,0.0,https://www.screener.in/company/543366/
Construction companies,534731,SBL Infratech,1.76,1.02,1.36,0.86,11.7,2.83,,3.61,3.33,10.0,1292.0,18.6,25.6,1.73,1086.0,25.0,54.3,-0.04,0.75,0.59,https://www.screener.in/company/534731/
Construction companies,HAVELLS,Bronze Infra,85727.0,1368.0,1466.0,1099.0,72.8,110.0,,22.3,17.0,1.0,10.7,24.5,59.4,62.7,21.4,6.69,62.8,3.97,0.93,0.04,https://www.screener.in/company/HAVELLS/consolidated/
