Company_Type,Tiker_name,Company_name,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Company_link
Auto Ancillaries companies,PRICOLLTD,Pricol Ltd,4630.0,380.0,393.0,174.0,38.1,63.1,0.0,,18.3,,18.5,118.0,32.7,12.2,16.5,3.35,64.3,2.72,0.97,0.12,https://www.screener.in/company/PRICOLLTD/consolidated/
Auto Ancillaries companies,SHANTIGEAR,Shanthi Gears,4607.0,600.0,624.0,317.0,60.5,42.6,0.83,,23.8,,21.9,89.6,32.7,7.67,22.5,3.84,71.0,2.74,0.96,0.0,https://www.screener.in/company/SHANTIGEAR/
Auto Ancillaries companies,BANCOINDIA,Banco Products,4571.0,639.0,676.0,190.0,16.1,146.0,3.44,,23.9,,22.1,237.0,32.7,7.15,17.9,5.49,65.2,9.24,0.95,0.38,https://www.screener.in/company/BANCOINDIA/consolidated/
Auto Ancillaries companies,JAMNAAUTO,Jamna Auto Inds.,4455.0,112.0,127.0,94.2,23.5,21.0,1.7,,22.9,,10.9,18.6,32.7,39.9,27.2,12.1,56.4,1.26,0.88,0.08,https://www.screener.in/company/JAMNAAUTO/consolidated/
Auto Ancillaries companies,SSWL,Steel Str. Wheel,4068.0,259.0,299.0,126.0,21.3,78.2,0.39,,18.6,,2.5,105.0,32.7,15.7,37.2,13.3,35.3,3.35,0.87,0.68,https://www.screener.in/company/SSWL/
Auto Ancillaries companies,LGBBROSLTD,L G Balakrishnan,3950.0,1258.0,1366.0,607.0,15.8,468.0,1.27,,19.0,,0.5,107.0,32.7,3.14,12.6,7.89,53.6,24.0,0.92,0.05,https://www.screener.in/company/LGBBROSLTD/consolidated/
Auto Ancillaries companies,SHARDAMOTR,Sharda Motor,3885.0,1307.0,1380.0,550.0,16.1,291.0,1.32,,28.8,,10.6,138.0,32.7,2.97,46.3,5.31,61.3,26.6,0.95,0.03,https://www.screener.in/company/SHARDAMOTR/
Auto Ancillaries companies,JTEKTINDIA,JTEKT India,3881.0,159.0,168.0,95.2,49.5,30.0,0.31,,12.4,,7.13,66.7,32.7,24.4,10.6,5.45,70.5,1.11,0.95,0.09,https://www.screener.in/company/JTEKTINDIA/consolidated/
Auto Ancillaries companies,HARSHA,Harsha Engg Intl,3579.0,393.0,494.0,309.0,32.7,122.0,0.25,,15.4,,-5.66,27.2,32.7,9.1,15.5,20.5,46.1,2.24,0.8,0.15,https://www.screener.in/company/HARSHA/consolidated/
Auto Ancillaries companies,SUBROS,Subros,3535.0,542.0,578.0,271.0,52.9,138.0,0.18,,5.6,,10.5,99.9,32.7,6.52,12.1,6.21,64.8,4.1,0.94,0.05,https://www.screener.in/company/SUBROS/consolidated/
Auto Ancillaries companies,AUTOAXLES,Automotive Axles,3242.0,2146.0,2693.0,1959.0,17.6,525.0,1.49,,23.4,,29.6,9.51,32.7,1.51,34.6,20.3,35.8,29.8,0.8,0.03,https://www.screener.in/company/AUTOAXLES/
Auto Ancillaries companies,DIVGIITTS,Divgi Torq,2999.0,981.0,1150.0,557.0,64.3,184.0,0.34,,11.5,,15.9,76.0,32.7,3.06,19.4,14.7,41.4,3.51,0.85,0.0,https://www.screener.in/company/DIVGIITTS/
Auto Ancillaries companies,SANDHAR,Sandhar Tech,2969.0,493.0,532.0,186.0,32.0,159.0,0.51,,8.01,,17.8,165.0,32.7,6.02,14.4,7.29,52.2,4.54,0.93,0.7,https://www.screener.in/company/SANDHAR/consolidated/
Auto Ancillaries companies,FIEMIND,Fiem Industries,2761.0,2098.0,2177.0,1416.0,18.5,608.0,1.43,,19.9,,0.77,48.1,32.7,1.32,10.2,3.65,58.3,33.0,0.96,0.03,https://www.screener.in/company/FIEMIND/consolidated/
Auto Ancillaries companies,LUMAXTECH,Lumax Auto Tech.,2627.0,386.0,470.0,210.0,27.0,103.0,1.17,,15.9,,29.5,83.4,32.7,6.82,17.4,18.0,52.8,4.02,0.82,1.02,https://www.screener.in/company/LUMAXTECH/consolidated/
Auto Ancillaries companies,UNIPARTS,Uniparts India,2609.0,578.0,723.0,501.0,15.2,194.0,2.47,,27.1,,-7.8,15.3,32.7,4.51,14.6,20.0,68.2,7.31,0.8,0.07,https://www.screener.in/company/UNIPARTS/consolidated/
Auto Ancillaries companies,PRECAM,Precision Camshf,2368.0,249.0,319.0,88.0,57.1,75.8,0.4,,6.55,,7.72,183.0,32.7,9.5,13.1,21.8,52.6,0.89,0.78,0.14,https://www.screener.in/company/PRECAM/consolidated/
